stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_lemma	finite_compact	subject_person	subject_number	subject_status	subject_source	continuity_status	continuity_source	previous_subject_person	previous_subject_number	previous_finite_verb	independence_status	subordination_status
54	1corintios	2	5	1corintios-2-5-P01	1corintios-2-3-P01	ᾖ	εἰμί	V-PAS-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	1	S	ἐγενόμην	unresolved	candidate
55	1corintios	2	6	1corintios-2-6-P01	1corintios-2-5-P01	λαλοῦμεν	λαλέω	V-PAI-1P	1	P	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ᾖ	candidate	not_detected
56	1corintios	2	7	1corintios-2-7-P01	1corintios-2-6-P01	λαλοῦμεν	λαλέω	V-PAI-1P	1	P	confirmed	finite_verb_morphology	same	person_number_match	1	P	λαλοῦμεν	candidate	not_detected
57	1corintios	2	7	1corintios-2-7-P02	1corintios-2-7-P01	προώρισεν	προορίζω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	1	P	λαλοῦμεν	candidate	not_detected
58	1corintios	2	8	1corintios-2-8-P01	1corintios-2-7-P02	ἔγνωκεν	γινώσκω	V-XAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	προώρισεν	candidate	not_detected
59	1corintios	2	8	1corintios-2-8-P02	1corintios-2-8-P01	ἔγνωσαν	γινώσκω	V-AAI-3P	3	P	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἔγνωκεν	unresolved	candidate
60	1corintios	2	8	1corintios-2-8-P03	1corintios-2-8-P02	ἐσταύρωσαν	σταυρόω	V-AAI-3P	3	P	confirmed	finite_verb_morphology	same	person_number_match	3	P	ἔγνωσαν	candidate	not_detected
61	1corintios	2	9	1corintios-2-9-P01	1corintios-2-8-P03	γέγραπται	γράφω	V-XPI-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	3	P	ἐσταύρωσαν	unresolved	candidate
62	1corintios	2	9	1corintios-2-9-P02	1corintios-2-9-P01	εἶδεν	ὁράω	V-AAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	γέγραπται	candidate	not_detected
63	1corintios	2	9	1corintios-2-9-P03	1corintios-2-9-P02	ἤκουσεν	ἀκούω	V-AAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			εἶδεν	candidate	not_detected
64	1corintios	2	9	1corintios-2-9-P04	1corintios-2-9-P03	ἀνέβη	ἀναβαίνω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἤκουσεν	candidate	not_detected
65	1corintios	2	9	1corintios-2-9-P05	1corintios-2-9-P04	ἡτοίμασεν	ἑτοιμάζω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	ἀνέβη	candidate	not_detected
66	1corintios	2	10	1corintios-2-10-P01	1corintios-2-9-P05	ἀπεκάλυψεν	ἀποκαλύπτω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	ἡτοίμασεν	candidate	not_detected
67	1corintios	2	10	1corintios-2-10-P02	1corintios-2-10-P01	ἐραυνᾷ	ἐραυνάω	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἀπεκάλυψεν	candidate	not_detected
68	1corintios	2	11	1corintios-2-11-P01	1corintios-2-10-P02	οἶδεν	οἶδα	V-XAI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἐραυνᾷ	candidate	not_detected
69	1corintios	2	11	1corintios-2-11-P02	1corintios-2-11-P01	ἔγνωκεν	γινώσκω	V-XAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	οἶδεν	unresolved	candidate
70	1corintios	2	12	1corintios-2-12-P01	1corintios-2-11-P02	ἐλάβομεν	λαμβάνω	V-AAI-1P	1	P	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἔγνωκεν	candidate	not_detected
71	1corintios	2	12	1corintios-2-12-P02	1corintios-2-12-P01	εἰδῶμεν	οἶδα	V-XAS-1P	1	P	confirmed	finite_verb_morphology	same	person_number_match	1	P	ἐλάβομεν	unresolved	candidate
