stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_refinement_status	subject_refinement_source	continuity_status	continuity_source	independence_status	subordination_status	movement_status	movement_reason_count	movement_reasons
257	1corintios	6	17	1corintios-6-17-P01	1corintios-6-16-P04	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
258	1corintios	6	18	1corintios-6-18-P01	1corintios-6-17-P01	φεύγετε	V-PAD-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
259	1corintios	6	18	1corintios-6-18-P02	1corintios-6-18-P01	ποιήσῃ	V-AAS-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
260	1corintios	6	18	1corintios-6-18-P03	1corintios-6-18-P02	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
261	1corintios	6	18	1corintios-6-18-P04	1corintios-6-18-P03	ἁμαρτάνει	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
262	1corintios	6	19	1corintios-6-19-P01	1corintios-6-18-P04	οἴδατε	V-XAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
263	1corintios	6	19	1corintios-6-19-P02	1corintios-6-19-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
264	1corintios	6	19	1corintios-6-19-P03	1corintios-6-19-P02	ἔχετε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
265	1corintios	6	19	1corintios-6-19-P04	1corintios-6-19-P03	ἐστὲ	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
266	1corintios	6	20	1corintios-6-20-P01	1corintios-6-19-P04	ἠγοράσθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
267	1corintios	6	20	1corintios-6-20-P02	1corintios-6-20-P01	δοξάσατε	V-AAD-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
268	1corintios	7	1	1corintios-7-1-P01	1corintios-6-20-P02	ἐγράψατε	V-AAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
269	1corintios	7	2	1corintios-7-2-P01	1corintios-7-1-P01	ἐχέτω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
270	1corintios	7	2	1corintios-7-2-P02	1corintios-7-2-P01	ἐχέτω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
271	1corintios	7	3	1corintios-7-3-P01	1corintios-7-2-P02	ἀποδιδότω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
272	1corintios	7	4	1corintios-7-4-P01	1corintios-7-3-P01	ἐξουσιάζει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
273	1corintios	7	4	1corintios-7-4-P02	1corintios-7-4-P01	ἐξουσιάζει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
274	1corintios	7	5	1corintios-7-5-P01	1corintios-7-4-P02	ἀποστερεῖτε	V-PAD-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
275	1corintios	7	5	1corintios-7-5-P02	1corintios-7-5-P01	σχολάσητε	V-AAS-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
276	1corintios	7	5	1corintios-7-5-P03	1corintios-7-5-P02	ἦτε	V-PAS-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
277	1corintios	7	5	1corintios-7-5-P04	1corintios-7-5-P03	πειράζῃ	V-PAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
278	1corintios	7	6	1corintios-7-6-P01	1corintios-7-5-P04	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
279	1corintios	7	7	1corintios-7-7-P01	1corintios-7-6-P01	θέλω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
280	1corintios	7	7	1corintios-7-7-P02	1corintios-7-7-P01	ἔχει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
281	1corintios	7	8	1corintios-7-8-P01	1corintios-7-7-P02	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
282	1corintios	7	8	1corintios-7-8-P02	1corintios-7-8-P01	μείνωσιν	V-AAS-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
283	1corintios	7	9	1corintios-7-9-P01	1corintios-7-8-P02	ἐγκρατεύονται	V-PMI-3P	3	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	none	0	[]
284	1corintios	7	9	1corintios-7-9-P02	1corintios-7-9-P01	γαμησάτωσαν	V-AAD-3P	3	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
285	1corintios	7	9	1corintios-7-9-P03	1corintios-7-9-P02	ἐστιν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"
286	1corintios	7	10	1corintios-7-10-P01	1corintios-7-9-P03	παραγγέλλω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
287	1corintios	7	11	1corintios-7-11-P01	1corintios-7-10-P01	χωρισθῇ	V-APS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
288	1corintios	7	11	1corintios-7-11-P02	1corintios-7-11-P01	μενέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
289	1corintios	7	11	1corintios-7-11-P03	1corintios-7-11-P02	καταλλαγήτω—	V-APD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
290	1corintios	7	12	1corintios-7-12-P01	1corintios-7-11-P03	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
291	1corintios	7	12	1corintios-7-12-P02	1corintios-7-12-P01	ἔχει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
292	1corintios	7	12	1corintios-7-12-P03	1corintios-7-12-P02	συνευδοκεῖ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
293	1corintios	7	12	1corintios-7-12-P04	1corintios-7-12-P03	ἀφιέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
294	1corintios	7	13	1corintios-7-13-P01	1corintios-7-12-P04	ἔχει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
295	1corintios	7	13	1corintios-7-13-P02	1corintios-7-13-P01	συνευδοκεῖ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
296	1corintios	7	13	1corintios-7-13-P03	1corintios-7-13-P02	ἀφιέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
297	1corintios	7	14	1corintios-7-14-P01	1corintios-7-13-P03	ἡγίασται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
298	1corintios	7	14	1corintios-7-14-P02	1corintios-7-14-P01	ἡγίασται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
299	1corintios	7	14	1corintios-7-14-P03	1corintios-7-14-P02	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
300	1corintios	7	14	1corintios-7-14-P04	1corintios-7-14-P03	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
301	1corintios	7	15	1corintios-7-15-P01	1corintios-7-14-P04	χωρίζεται	V-PPI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
302	1corintios	7	15	1corintios-7-15-P02	1corintios-7-15-P01	χωριζέσθω	V-PPD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
303	1corintios	7	15	1corintios-7-15-P03	1corintios-7-15-P02	δεδούλωται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
304	1corintios	7	15	1corintios-7-15-P04	1corintios-7-15-P03	κέκληκεν	V-XAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
305	1corintios	7	16	1corintios-7-16-P01	1corintios-7-15-P04	οἶδας	V-XAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
306	1corintios	7	16	1corintios-7-16-P02	1corintios-7-16-P01	σώσεις	V-FAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
307	1corintios	7	16	1corintios-7-16-P03	1corintios-7-16-P02	οἶδας	V-XAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
308	1corintios	7	16	1corintios-7-16-P04	1corintios-7-16-P03	σώσεις	V-FAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
309	1corintios	7	17	1corintios-7-17-P01	1corintios-7-16-P04	ἐμέρισεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	candidate	2	"[""person_change"", ""subject_shift""]"
310	1corintios	7	17	1corintios-7-17-P02	1corintios-7-17-P01	κέκληκεν	V-XAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	none	0	[]
311	1corintios	7	17	1corintios-7-17-P03	1corintios-7-17-P02	περιπατείτω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
312	1corintios	7	17	1corintios-7-17-P04	1corintios-7-17-P03	διατάσσομαι	V-PMI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
313	1corintios	7	18	1corintios-7-18-P01	1corintios-7-17-P04	ἐκλήθη;	V-API-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
314	1corintios	7	18	1corintios-7-18-P02	1corintios-7-18-P01	ἐπισπάσθω	V-PMD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
315	1corintios	7	18	1corintios-7-18-P03	1corintios-7-18-P02	κέκληταί	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
316	1corintios	7	18	1corintios-7-18-P04	1corintios-7-18-P03	περιτεμνέσθω	V-PPD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
317	1corintios	7	19	1corintios-7-19-P01	1corintios-7-18-P04	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
318	1corintios	7	19	1corintios-7-19-P02	1corintios-7-19-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
319	1corintios	7	20	1corintios-7-20-P01	1corintios-7-19-P02	ἐκλήθη	V-API-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
320	1corintios	7	20	1corintios-7-20-P02	1corintios-7-20-P01	μενέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
321	1corintios	7	21	1corintios-7-21-P01	1corintios-7-20-P02	ἐκλήθης;	V-API-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
322	1corintios	7	21	1corintios-7-21-P02	1corintios-7-21-P01	μελέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
323	1corintios	7	21	1corintios-7-21-P03	1corintios-7-21-P02	δύνασαι	V-PMI-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
324	1corintios	7	21	1corintios-7-21-P04	1corintios-7-21-P03	χρῆσαι	V-AMD-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
325	1corintios	7	22	1corintios-7-22-P01	1corintios-7-21-P04	ἐστίν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
326	1corintios	7	22	1corintios-7-22-P02	1corintios-7-22-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
327	1corintios	7	23	1corintios-7-23-P01	1corintios-7-22-P02	ἠγοράσθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
328	1corintios	7	23	1corintios-7-23-P02	1corintios-7-23-P01	γίνεσθε	V-PMD-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
329	1corintios	7	24	1corintios-7-24-P01	1corintios-7-23-P02	ἐκλήθη	V-API-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
330	1corintios	7	24	1corintios-7-24-P02	1corintios-7-24-P01	μενέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
331	1corintios	7	25	1corintios-7-25-P01	1corintios-7-24-P02	ἔχω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
332	1corintios	7	25	1corintios-7-25-P02	1corintios-7-25-P01	δίδωμι	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
333	1corintios	7	26	1corintios-7-26-P01	1corintios-7-25-P02	νομίζω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
334	1corintios	7	27	1corintios-7-27-P01	1corintios-7-26-P01	δέδεσαι	V-XPI-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
335	1corintios	7	27	1corintios-7-27-P02	1corintios-7-27-P01	ζήτει	V-PAD-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
336	1corintios	7	27	1corintios-7-27-P03	1corintios-7-27-P02	λέλυσαι	V-XPI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
337	1corintios	7	27	1corintios-7-27-P04	1corintios-7-27-P03	ζήτει	V-PAD-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
338	1corintios	7	28	1corintios-7-28-P01	1corintios-7-27-P04	γαμήσῃς	V-AAS-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
339	1corintios	7	28	1corintios-7-28-P02	1corintios-7-28-P01	ἥμαρτες	V-AAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
340	1corintios	7	28	1corintios-7-28-P03	1corintios-7-28-P02	γήμῃ	V-AAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
341	1corintios	7	28	1corintios-7-28-P04	1corintios-7-28-P03	ἥμαρτεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
342	1corintios	7	28	1corintios-7-28-P05	1corintios-7-28-P04	ἕξουσιν	V-FAI-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"
343	1corintios	7	28	1corintios-7-28-P06	1corintios-7-28-P05	φείδομαι	V-PMI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
344	1corintios	7	29	1corintios-7-29-P01	1corintios-7-28-P06	φημι	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
345	1corintios	7	29	1corintios-7-29-P02	1corintios-7-29-P01	ἐστίν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
346	1corintios	7	29	1corintios-7-29-P03	1corintios-7-29-P02	ὦσιν	V-PAS-3P	3	P	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"
347	1corintios	7	31	1corintios-7-31-P01	1corintios-7-29-P03	παράγει	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	candidate	2	"[""number_change"", ""subject_shift""]"
348	1corintios	7	32	1corintios-7-32-P01	1corintios-7-31-P01	θέλω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
349	1corintios	7	32	1corintios-7-32-P02	1corintios-7-32-P01	μεριμνᾷ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
350	1corintios	7	32	1corintios-7-32-P03	1corintios-7-32-P02	ἀρέσῃ	V-AAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
351	1corintios	7	33	1corintios-7-33-P01	1corintios-7-32-P03	μεριμνᾷ	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
352	1corintios	7	33	1corintios-7-33-P02	1corintios-7-33-P01	ἀρέσῃ	V-AAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
353	1corintios	7	34	1corintios-7-34-P01	1corintios-7-33-P02	μεμέρισται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
354	1corintios	7	34	1corintios-7-34-P02	1corintios-7-34-P01	μεριμνᾷ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
355	1corintios	7	34	1corintios-7-34-P03	1corintios-7-34-P02	ᾖ	V-PAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
356	1corintios	7	34	1corintios-7-34-P04	1corintios-7-34-P03	μεριμνᾷ	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
357	1corintios	7	34	1corintios-7-34-P05	1corintios-7-34-P04	ἀρέσῃ	V-AAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
358	1corintios	7	35	1corintios-7-35-P01	1corintios-7-34-P05	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
359	1corintios	7	35	1corintios-7-35-P02	1corintios-7-35-P01	ἐπιβάλω	V-AAS-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
360	1corintios	7	36	1corintios-7-36-P01	1corintios-7-35-P02	νομίζει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	candidate	2	"[""person_change"", ""subject_shift""]"
361	1corintios	7	36	1corintios-7-36-P02	1corintios-7-36-P01	ᾖ	V-PAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	none	0	[]
362	1corintios	7	36	1corintios-7-36-P03	1corintios-7-36-P02	ὀφείλει	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
363	1corintios	7	36	1corintios-7-36-P04	1corintios-7-36-P03	θέλει	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
364	1corintios	7	36	1corintios-7-36-P05	1corintios-7-36-P04	ποιείτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
365	1corintios	7	36	1corintios-7-36-P06	1corintios-7-36-P05	ἁμαρτάνει	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
366	1corintios	7	36	1corintios-7-36-P07	1corintios-7-36-P06	γαμείτωσαν	V-PAD-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"
367	1corintios	7	37	1corintios-7-37-P01	1corintios-7-36-P07	ἕστηκεν	V-XAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"
368	1corintios	7	37	1corintios-7-37-P02	1corintios-7-37-P01	ἔχει	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
369	1corintios	7	37	1corintios-7-37-P03	1corintios-7-37-P02	κέκρικεν	V-XAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
370	1corintios	7	37	1corintios-7-37-P04	1corintios-7-37-P03	ποιήσει	V-FAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
371	1corintios	7	38	1corintios-7-38-P01	1corintios-7-37-P04	ποιεῖ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
372	1corintios	7	38	1corintios-7-38-P02	1corintios-7-38-P01	ποιήσει	V-FAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
373	1corintios	7	39	1corintios-7-39-P01	1corintios-7-38-P02	δέδεται	V-XPI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
374	1corintios	7	39	1corintios-7-39-P02	1corintios-7-39-P01	ζῇ	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
