book	chapter	continuity_source	continuity_status	finite_compact	finite_verb	independence_status	movement_reason_count	movement_reasons	movement_status	predication_id	previous_predication_id	stream_index	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subordination_status	verse	continuity_status_refined	continuity_refinement
1corintios	2	existing_continuity_status	same	V-AAI-3S	ἡτοίμασεν	candidate	0	[]	none	1corintios-2-9-P05	1corintios-2-9-P04	65	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	9	same	none
1corintios	2	existing_continuity_status	same	V-AAI-3S	ἀπεκάλυψεν	candidate	0	[]	none	1corintios-2-10-P01	1corintios-2-9-P05	66	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	10	same	none
1corintios	2	existing_continuity_status	same	V-PAI-3S	ἐραυνᾷ	candidate	0	[]	none	1corintios-2-10-P02	1corintios-2-10-P01	67	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	10	same	none
1corintios	2	existing_continuity_status	same	V-XAI-3S	οἶδεν	candidate	0	[]	none	1corintios-2-11-P01	1corintios-2-10-P02	68	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	11	same	none
1corintios	2	existing_continuity_status	same	V-XAI-3S	ἔγνωκεν	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-2-11-P02	1corintios-2-11-P01	69	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	11	same	none
1corintios	2	existing_continuity_status	shift	V-AAI-1P	ἐλάβομεν	candidate	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-2-12-P01	1corintios-2-11-P02	70	P	1	finite_verb_morphology	explicit_or_morphological	not_detected	12	shift	none
1corintios	2	existing_continuity_status	same	V-XAS-1P	εἰδῶμεν	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-2-12-P02	1corintios-2-12-P01	71	P	1	finite_verb_morphology	explicit_or_morphological	candidate	12	same	none
1corintios	2	existing_continuity_status	same	V-PAI-1P	λαλοῦμεν	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-2-13-P01	1corintios-2-12-P02	72	P	1	finite_verb_morphology	explicit_or_morphological	not_detected	13	same	none
1corintios	2	existing_continuity_status	shift	V-PMI-3S	δέχεται	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-2-14-P01	1corintios-2-13-P01	73	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	14	shift	none
1corintios	2	existing_continuity_status	same	V-PAI-3S	ἐστίν	candidate	0	[]	none	1corintios-2-14-P02	1corintios-2-14-P01	74	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	14	same	none
1corintios	2	existing_continuity_status	same	V-PMI-3S	δύναται	candidate	0	[]	none	1corintios-2-14-P03	1corintios-2-14-P02	75	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	14	same	none
1corintios	2	existing_continuity_status	same	V-PPI-3S	ἀνακρίνεται	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-2-14-P04	1corintios-2-14-P03	76	S	3	finite_verb_morphology	explicit_or_morphological	candidate	14	same	none
1corintios	2	existing_continuity_status	same	V-PAI-3S	ἀνακρίνει	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-2-15-P01	1corintios-2-14-P04	77	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	15	same	none
1corintios	2	existing_continuity_status	same	V-PPI-3S	ἀνακρίνεται	candidate	0	[]	none	1corintios-2-15-P02	1corintios-2-15-P01	78	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	15	same	none
1corintios	2	existing_continuity_status	same	V-AAI-3S	ἔγνω	candidate	0	[]	none	1corintios-2-16-P01	1corintios-2-15-P02	79	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	16	same	none
1corintios	2	existing_continuity_status	same	V-FAI-3S	συμβιβάσει	candidate	0	[]	none	1corintios-2-16-P02	1corintios-2-16-P01	80	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	16	same	none
1corintios	2	existing_continuity_status	shift	V-PAI-1P	ἔχομεν	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-2-16-P03	1corintios-2-16-P02	81	P	1	finite_verb_morphology	explicit_or_morphological	not_detected	16	shift	none
1corintios	3	existing_continuity_status	shift	V-API-1S	ἠδυνήθην	candidate	2	"[""number_change"", ""subject_shift""]"	candidate	1corintios-3-1-P01	1corintios-2-16-P03	82	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	1	shift	none
1corintios	3	existing_continuity_status	same	V-AAI-1S	ἐπότισα	candidate	0	[]	none	1corintios-3-2-P01	1corintios-3-1-P01	83	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	2	same	none
1corintios	3	existing_continuity_status	shift	V-IMI-2P	ἐδύνασθε	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-3-2-P02	1corintios-3-2-P01	84	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	2	shift	none
1corintios	3	existing_continuity_status	same	V-PMI-2P	δύνασθε	candidate	0	[]	none	1corintios-3-2-P03	1corintios-3-2-P02	85	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	2	same	none
1corintios	3	existing_continuity_status	same	V-PAI-2P	ἐστε	candidate	0	[]	none	1corintios-3-3-P01	1corintios-3-2-P03	86	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	3	same	none
1corintios	3	existing_continuity_status	same	V-PAI-2P	ἐστε	candidate	0	[]	none	1corintios-3-3-P02	1corintios-3-3-P01	87	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	3	same	none
1corintios	3	existing_continuity_status	same	V-PAI-2P	περιπατεῖτε	candidate	0	[]	none	1corintios-3-3-P03	1corintios-3-3-P02	88	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	3	same	none
1corintios	3	existing_continuity_status	shift	V-PAS-3S	λέγῃ	unresolved	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-3-4-P01	1corintios-3-3-P03	89	S	3	finite_verb_morphology	explicit_or_morphological	candidate	4	shift	none
1corintios	3	existing_continuity_status	shift	V-PAI-1S	εἰμι	candidate	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-3-4-P02	1corintios-3-4-P01	90	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	4	shift	none
1corintios	3	existing_continuity_status	shift	V-PAI-2P	ἐστε	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-3-4-P03	1corintios-3-4-P02	91	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	4	shift	none
1corintios	3	existing_continuity_status	shift	V-PAI-3S	ἐστιν	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-3-5-P01	1corintios-3-4-P03	92	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	5	shift	none
1corintios	3	existing_continuity_status	same	V-PAI-3S	ἐστιν	candidate	0	[]	none	1corintios-3-5-P02	1corintios-3-5-P01	93	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	5	same	none
