book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	6:18	258	καταργήσει	1corintios-6-13-P01	123	φεύγετε	1corintios-6-18-P01	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	13	6:13	246	SR0123	58	['SR0124', 'SR0125', 'SR0126', 'SR0127', 'SR0128', 'SR0129', 'SR0130', 'SR0131', 'SR0132']	SMR0027
1corintios	6:19	263	ποιήσῃ	1corintios-6-18-P02	133	ἐστιν	1corintios-6-19-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	5	6:18	259	SR0133	24	['SR0134', 'SR0135']	SMR0028
1corintios	7:1	268	ἔχετε	1corintios-6-19-P03	136	ἐγράψατε	1corintios-7-1-P01	"{""stable"": 3, ""structural"": 1}"	"{""none"": 3, ""strong"": 1}"	5	6:19	264	SR0136	8	['SR0137']	SMR0029
1corintios	7:4	273	ἐχέτω	1corintios-7-2-P01	138	ἐξουσιάζει	1corintios-7-4-P02	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	5	7:2	269	SR0138	6		SMR0030
1corintios	7:8	281	ἀποστερεῖτε	1corintios-7-5-P01	139	λέγω	1corintios-7-8-P01	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""strong"": 1}"	8	7:5	274	SR0139	36	['SR0140', 'SR0141', 'SR0142', 'SR0143']	SMR0031
1corintios	7:10	286	μείνωσιν	1corintios-7-8-P02	144	παραγγέλλω	1corintios-7-10-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	5	7:8	282	SR0144	18	['SR0145', 'SR0146']	SMR0032
1corintios	7:12	290	χωρισθῇ	1corintios-7-11-P01	147	λέγω	1corintios-7-12-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	4	7:11	287	SR0147	12	['SR0148']	SMR0033
1corintios	7:15	304	ἔχει	1corintios-7-12-P02	149	κέκληκεν	1corintios-7-15-P04	"{""stable"": 6, ""structural"": 1, ""turbulence"": 7}"	"{""candidate"": 7, ""none"": 6, ""strong"": 1}"	14	7:12	291	SR0149	20		SMR0034
1corintios	7:16	308	οἶδας	1corintios-7-16-P01	150	σώσεις	1corintios-7-16-P04	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	4	7:16	305	SR0150	10		SMR0035
1corintios	7:17	312	ἐμέρισεν	1corintios-7-17-P01	151	διατάσσομαι	1corintios-7-17-P04	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	4	7:17	309	SR0151	10	['SR0152']	SMR0036
1corintios	7:24	330	ἐκλήθη;	1corintios-7-18-P01	153	μενέτω	1corintios-7-24-P02	"{""stable"": 7, ""structural"": 1}"	"{""candidate"": 1, ""none"": 7}"	18	7:18	313	SR0153	36	['SR0154', 'SR0155', 'SR0156', 'SR0157', 'SR0158', 'SR0159']	SMR0037
1corintios	7:26	333	ἔχω	1corintios-7-25-P01	160	νομίζω	1corintios-7-26-P01	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	7:25	331	SR0160	4		SMR0038
1corintios	7:32	348	δέδεσαι	1corintios-7-27-P01	161	θέλω	1corintios-7-32-P01	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	15	7:27	334	SR0161	46	['SR0162', 'SR0163', 'SR0164', 'SR0165', 'SR0166', 'SR0167', 'SR0168']	SMR0039
