structural_signature_id	source_regime_id	merged_regime_id	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	max_structural_weight	weight_per_record	structural_density	turbulence_density	stable_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	continuity_initial_density	dominant_movement_class	dominant_movement_status	dominant_continuity_status	dominant_subject_profile	movement_class_counts	movement_status_counts	continuity_counts	subject_profile_counts	signature_code
SMR0044	SR0138	SMR0044	1corintios	396	399	8:8	8:8	4	12	6	3.0	0.25	0.75	0.0	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1P	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""strong"": 1}"	"{""unresolved"": 4}"	"{""1P"": 4}"	structural=medium|turbulence=very_high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0045	SR0139	SMR0045	1corintios	400	405	8:9	8:11	6	10	4	1.6667	0.3333	0.3333	0.3333	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""stable"": 2, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 2}"	"{""unresolved"": 6}"	"{""--"": 1, ""2P"": 3, ""3S"": 2}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0046	SR0141	SMR0046	1corintios	406	409	8:12	8:13	4	10	4	2.5	0.25	0.75	0.0	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1S	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	"{""unresolved"": 4}"	"{""--"": 1, ""1S"": 2, ""2P"": 1}"	structural=medium|turbulence=very_high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0047	SR0142	SMR0047	1corintios	410	417	9:1	9:3	8	18	6	2.25	0.375	0.25	0.375	0.0	0.0	1.0	0.0	stable	candidate	unresolved	1S	"{""stable"": 3, ""structural"": 3, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 3, ""strong"": 1}"	"{""unresolved"": 8}"	"{""1S"": 5, ""2P"": 3}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0048	SR0146	SMR0048	1corintios	418	422	9:4	9:7	5	2	2	0.4	0.2	0.0	0.8	0.0	0.0	1.0	0.0	stable	none	unresolved	1P	"{""stable"": 4, ""structural"": 1}"	"{""candidate"": 1, ""none"": 4}"	"{""unresolved"": 5}"	"{""1P"": 5}"	structural=low|turbulence=none|stable=very_high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0049	SR0147	SMR0049	1corintios	423	429	9:7	9:9	7	10	4	1.4286	0.5714	0.0	0.4286	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 3, ""structural"": 4}"	"{""candidate"": 4, ""none"": 3}"	"{""unresolved"": 7}"	"{""1S"": 2, ""2S"": 1, ""3S"": 4}"	structural=high|turbulence=none|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0050	SR0151	SMR0050	1corintios	430	433	9:9	9:10	4	4	2	1.0	0.25	0.25	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	3S	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	"{""unresolved"": 4}"	"{""3S"": 4}"	structural=medium|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0051	SR0152	SMR0051	1corintios	434	448	9:11	9:16	15	34	4	2.2667	0.4667	0.2	0.3333	0.0	0.0	1.0	0.0	structural	candidate	unresolved	1P	"{""stable"": 5, ""structural"": 7, ""turbulence"": 3}"	"{""candidate"": 5, ""none"": 5, ""strong"": 5}"	"{""unresolved"": 15}"	"{""1P"": 6, ""1S"": 4, ""2P"": 3, ""3P"": 1, ""3S"": 1}"	structural=medium|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0052	SR0159	SMR0052	1corintios	449	451	9:16	9:16	3	4	4	1.3333	0.3333	0.0	0.6667	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	"{""unresolved"": 3}"	"{""3S"": 3}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0053	SR0160	SMR0053	1corintios	452	456	9:16	9:18	5	12	4	2.4	0.4	0.4	0.2	0.0	0.0	1.0	0.0	structural	strong	unresolved	1S	"{""stable"": 1, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 2}"	"{""unresolved"": 5}"	"{""1S"": 4, ""3S"": 1}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0054	SR0162	SMR0054	1corintios	457	472	9:18	9:24	16	38	6	2.375	0.25	0.625	0.125	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1S	"{""stable"": 2, ""structural"": 4, ""turbulence"": 10}"	"{""candidate"": 10, ""none"": 2, ""strong"": 4}"	"{""unresolved"": 16}"	"{""1S"": 13, ""2P"": 1, ""3P"": 1, ""3S"": 1}"	structural=medium|turbulence=high|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0055	SR0166	SMR0055	1corintios	473	476	9:24	9:25	4	12	4	3.0	0.5	0.5	0.0	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 3, ""strong"": 1}"	"{""unresolved"": 4}"	"{""2P"": 3, ""3P"": 1}"	structural=high|turbulence=high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0056	SR0168	SMR0056	1corintios	477	481	9:26	9:27	5	10	6	2.0	0.2	0.4	0.4	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1S	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 5}"	"{""1S"": 5}"	structural=low|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0057	SR0169	SMR0057	1corintios	482	490	10:1	10:5	9	10	4	1.1111	0.2222	0.2222	0.5556	0.0	0.0	1.0	0.0	stable	none	unresolved	1S	"{""stable"": 5, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 5}"	"{""unresolved"": 9}"	"{""--"": 1, ""1S"": 5, ""3P"": 1, ""3S"": 2}"	structural=low|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0058	SR0172	SMR0058	1corintios	491	497	10:5	10:7	7	16	6	2.2857	0.4286	0.4286	0.1429	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3P	"{""stable"": 1, ""structural"": 3, ""turbulence"": 3}"	"{""candidate"": 5, ""none"": 1, ""strong"": 1}"	"{""unresolved"": 7}"	"{""--"": 1, ""2P"": 1, ""3P"": 3, ""3S"": 2}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0059	SR0175	SMR0059	1corintios	498	500	10:8	10:8	3	6	2	2.0	0.3333	0.6667	0.0	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1P	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	"{""unresolved"": 3}"	"{""--"": 1, ""1P"": 1, ""3P"": 1}"	structural=medium|turbulence=high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
