calibrated_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	raw_band	calibrated_band	calibration_reason	band_changed	dominant_field	dominant_tendency	state_counts	label_counts	label_dominance_ratio	persistence_total	transition_total	extension_total	weakening_total	pressure_delta	smoothed_band	smoothing_changed	smoothing_neighborhood
CMW00045	1corintios	45	10:19	10:23	529	540	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 1, ""stable"": 6, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 8, ""EXPONE"": 6, ""RAZÓN"": 3}"	0.4706	26	24	16	13	-2	mixed_continuity	False	"[""CMW00044"", ""CMW00045"", ""CMW00046""]"
CMW00046	1corintios	46	10:23	10:30	541	552	12	transition_cluster	mixed_continuity	default_mixed	True	unstable	ACLARA	"{""stable"": 4, ""transitioning"": 3, ""unstable"": 5}"	"{""ACLARA"": 8, ""CONDICIÓN"": 2, ""EXPONE"": 4}"	0.5714	18	42	13	26	24	mixed_continuity	False	"[""CMW00045"", ""CMW00046"", ""CMW00047""]"
CMW00047	1corintios	47	10:30	11:2	553	564	12	transition_cluster	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 6, ""transitioning"": 1, ""unstable"": 5}"	"{""ACLARA"": 6, ""CONDICIÓN"": 1, ""EXPONE"": 6, ""PROPÓSITO"": 1}"	0.4286	20	34	14	22	14	mixed_continuity	False	"[""CMW00046"", ""CMW00047"", ""CMW00048""]"
CMW00048	1corintios	48	11:2	11:7	565	576	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 8, ""transitioning"": 2, ""unstable"": 2}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 8, ""RAZÓN"": 2}"	0.4706	28	20	20	12	-8	mixed_continuity	False	"[""CMW00047"", ""CMW00048"", ""CMW00049""]"
CMW00049	1corintios	49	11:8	11:16	577	588	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 4, ""CONDICIÓN"": 2, ""EXPONE"": 10, ""RAZÓN"": 2}"	0.5556	34	8	24	4	-26	mixed_continuity	True	"[""CMW00048"", ""CMW00049"", ""CMW00050""]"
CMW00050	1corintios	50	11:16	11:22	589	600	12	transition_cluster	mixed_continuity	default_mixed	True	unstable	ACLARA	"{""recovering"": 3, ""stable"": 4, ""transitioning"": 1, ""unstable"": 4}"	"{""ACLARA"": 8, ""CONDICIÓN"": 1, ""EXPONE"": 4, ""PROPÓSITO"": 1, ""RAZÓN"": 1}"	0.5333	14	34	10	21	20	extended_stable_field	True	"[""CMW00049"", ""CMW00050"", ""CMW00051""]"
CMW00051	1corintios	51	11:22	11:24	601	612	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 3, ""EXPONE"": 10, ""RAZÓN"": 1}"	0.7143	34	8	22	4	-26	mixed_continuity	True	"[""CMW00050"", ""CMW00051"", ""CMW00052""]"
CMW00052	1corintios	52	11:24	11:28	613	624	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 8, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 4, ""CONDICIÓN"": 2, ""EXPONE"": 8, ""RESULTADO"": 1}"	0.5333	30	19	21	10	-11	mixed_continuity	False	"[""CMW00051"", ""CMW00052"", ""CMW00053""]"
CMW00053	1corintios	53	11:28	11:34	625	636	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 1, ""unstable"": 2}"	"{""ACLARA"": 4, ""CONDICIÓN"": 2, ""EXPONE"": 8, ""PROPÓSITO"": 1, ""RESULTADO"": 1}"	0.5	26	19	19	11	-7	mixed_continuity	False	"[""CMW00052"", ""CMW00053"", ""CMW00054""]"
CMW00054	1corintios	54	11:34	12:5	637	648	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 1, ""stable"": 6, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 9, ""EXPONE"": 6, ""PROPÓSITO"": 1, ""RAZÓN"": 2}"	0.5	26	24	16	13	-2	mixed_continuity	False	"[""CMW00053"", ""CMW00054"", ""CMW00055""]"
CMW00055	1corintios	55	12:6	12:15	649	660	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""recovering"": 1, ""stable"": 9, ""transitioning"": 2}"	"{""ACLARA"": 4, ""EXPONE"": 9}"	0.6923	31	10	20	5	-21	mixed_continuity	True	"[""CMW00054"", ""CMW00055"", ""CMW00056""]"
CMW00056	1corintios	56	12:15	12:21	661	672	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	ACLARA	"{""stable"": 7, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 7, ""RAZÓN"": 2}"	0.4	29	22	21	12	-7	mixed_continuity	False	"[""CMW00055"", ""CMW00056"", ""CMW00057""]"
