movement_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	movement_band	dominant_field	dominant_tendency	state_counts	label_counts	persistence_total	transition_total	extension_total	weakening_total
MW00076	1corintios	76	15:27	15:32	901	912	12	extended_stable_field	stable	EXPONE	"{""recovering"": 2, ""stable"": 9, ""transitioning"": 1}"	"{""ACLARA"": 4, ""CONDICIÓN"": 1, ""EXPONE"": 9, ""PROPÓSITO"": 1, ""RAZÓN"": 1}"	29	8	20	4
MW00077	1corintios	77	15:32	15:35	913	924	12	transition_cluster	unstable	ACLARA	"{""recovering"": 1, ""stable"": 3, ""transitioning"": 2, ""unstable"": 6}"	"{""ACLARA"": 9, ""CONDICIÓN"": 2, ""EXPONE"": 3}"	13	46	10	29
MW00078	1corintios	78	15:35	15:42	925	936	12	extended_stable_field	stable	EXPONE	"{""stable"": 8, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 8}"	30	18	21	10
MW00079	1corintios	79	15:43	15:49	937	948	12	extended_stable_field	stable	EXPONE	"{""stable"": 11, ""unstable"": 1}"	"{""ACLARA"": 2, ""CONDICIÓN"": 1, ""EXPONE"": 11}"	33	6	23	4
MW00080	1corintios	80	15:50	15:54	949	960	12	mixed_continuity	stable	ACLARA	"{""recovering"": 3, ""stable"": 4, ""transitioning"": 2, ""unstable"": 3}"	"{""ACLARA"": 9, ""EXPONE"": 4, ""RAZÓN"": 1}"	16	32	10	19
MW00081	1corintios	81	15:54	16:3	961	972	12	transition_cluster	unstable	ACLARA	"{""stable"": 3, ""unstable"": 9}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 3, ""PROPÓSITO"": 1, ""RAZÓN"": 1, ""RESULTADO"": 1}"	9	55	7	36
MW00082	1corintios	82	16:3	16:7	973	984	12	mixed_continuity	stable	ACLARA	"{""recovering"": 1, ""stable"": 6, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 6, ""CONDICIÓN"": 3, ""EXPONE"": 6, ""PROPÓSITO"": 1}"	24	26	18	15
MW00083	1corintios	83	16:7	16:12	985	996	12	transition_cluster	unstable	ACLARA	"{""stable"": 4, ""transitioning"": 3, ""unstable"": 5}"	"{""ACLARA"": 8, ""CONDICIÓN"": 2, ""EXPONE"": 4, ""PROPÓSITO"": 2}"	18	42	13	26
MW00084	1corintios	84	16:12	16:17	997	1008	12	transition_cluster	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 1, ""unstable"": 5}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""PROPÓSITO"": 3, ""RAZÓN"": 1}"	17	36	11	23
MW00085	1corintios	85	16:17	16:22	1009	1018	10	transition_cluster	unstable	ACLARA	"{""recovering"": 2, ""stable"": 2, ""transitioning"": 2, ""unstable"": 4}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 2, ""RAZÓN"": 1}"	6	36	5	22
