book	certainty_finite_verb	certainty_independence	certainty_predication	chapter	finite_compact	finite_lemma	finite_morphgnt	finite_verb	g_idx	independence_source	independence_status	nbla_idx	nbla_text	predication_id	stream_index	subject_inherited_from	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subject_source	subject_status	subject_token	subordination_markers	subordination_source	subordination_status	verse
1corintios	confirmed	unresolved	candidate	2	V-AAI-3P	γινώσκω	V- 3AAI-P--	ἔγνωσαν	11	subordination_marker_scan_only	unresolved	15-17	la hubieran entendido	1corintios-2-8-P02	59		P	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""εἰ"", ""key"": ""ει"", ""token"": ""09""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	8
1corintios	confirmed	candidate	candidate	2	V-AAI-3P	σταυρόω	V- 3AAI-P--	ἐσταύρωσαν	18	subordination_marker_scan_only	candidate	20	crucificado	1corintios-2-8-P03	60		P	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	8
1corintios	confirmed	unresolved	candidate	2	V-XPI-3S	γράφω	V- 3XPI-S--	γέγραπται	03	subordination_marker_scan_only	unresolved	03-04	está escrito	1corintios-2-9-P01	61		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""καθὼς"", ""key"": ""καθως"", ""token"": ""02""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	9
1corintios	confirmed	candidate	candidate	2	V-AAI-3S	ὁράω	V- 3AAI-S--	εἶδεν	07	subordination_marker_scan_only	candidate	09	vio	1corintios-2-9-P02	62	1corintios-2-8-P03	P	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	05	[]		not_detected	9
1corintios	confirmed	candidate	candidate	2	V-AAI-3S	ἀκούω	V- 3AAI-S--	ἤκουσεν	11	subordination_marker_scan_only	candidate	12	oyó	1corintios-2-9-P03	63	1corintios-2-9-P02	P	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	09	[]		not_detected	9
1corintios	confirmed	candidate	candidate	2	V-AAI-3S	ἀναβαίνω	V- 3AAI-S--	ἀνέβη	17	subordination_marker_scan_only	candidate	14-15	han entrado	1corintios-2-9-P04	64		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	9
1corintios	confirmed	candidate	candidate	2	V-AAI-3S	ἑτοιμάζω	V- 3AAI-S--	ἡτοίμασεν	19	subordination_marker_scan_only	candidate	25-26	ha preparado	1corintios-2-9-P05	65		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	9
1corintios	confirmed	candidate	candidate	2	V-AAI-3S	ἀποκαλύπτω	V- 3AAI-S--	ἀπεκάλυψεν	03	subordination_marker_scan_only	candidate	04-05	las reveló	1corintios-2-10-P01	66		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	10
1corintios	confirmed	candidate	candidate	2	V-PAI-3S	ἐραυνάω	V- 3PAI-S--	ἐραυνᾷ	13	subordination_marker_scan_only	candidate	14-15	lo escudriña	1corintios-2-10-P02	67	1corintios-2-10-P01	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	11	[]		not_detected	10
1corintios	confirmed	candidate	candidate	2	V-XAI-3S	οἶδα	V- 3XAI-S--	οἶδεν	03	subordination_marker_scan_only	candidate	06	conoce	1corintios-2-11-P01	68		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	11
