BOOK	CH	VS	CLAUSE_ID	FINITE_GREEK	NODE_TYPE	PARENT_CLAUSE	RELATIONSHIP_TYPE	TREE_DEPTH	OWNERSHIP_CONFIDENCE	TREE_STATUS	SPAN_TEXT	NOTES
1corintios	1	22	C1	αἰτοῦσιν	root-or-unresolved			0		unresolved-root	ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	1	22	C2	ζητοῦσιν	root-or-unresolved			0		unresolved-root	==ζητοῦσιν==	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	1	23	C1	κηρύσσομεν	root-or-unresolved			0		unresolved-root	ἡμεῖς δὲ ==κηρύσσομεν== χριστὸν ἐσταυρωμένον ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν	no-confirmed-topology
1corintios	1	25	C1	ἐστίν	root-or-unresolved			0		unresolved-root	ὅτι τὸ μωρὸν τοῦ θεοῦ σοφώτερον τῶν ἀνθρώπων ==ἐστίν== καὶ τὸ ἀσθενὲς τοῦ θεοῦ ἰσχυρότερον τῶν ἀνθρώπων	no-confirmed-topology
1corintios	1	26	C1	βλέπετε	root-or-unresolved			0		unresolved-root	==βλέπετε== γὰρ τὴν κλῆσιν ὑμῶν ἀδελφοί ὅτι οὐ πολλοὶ σοφοὶ κατὰ σάρκα οὐ πολλοὶ δυνατοί οὐ πολλοὶ εὐγενεῖς	no-confirmed-topology
1corintios	1	27	C1	ἐξελέξατο	root-parent			0		unresolved-root	ἀλλὰ τὰ μωρὰ τοῦ κόσμου ==ἐξελέξατο== ὁ θεός	no-confirmed-topology
1corintios	1	27	C2	καταισχύνῃ	leaf	C1	subordinate	1	medium	suggested	ἵνα ==καταισχύνῃ== τοὺς σοφούς καὶ τὰ ἀσθενῆ τοῦ κόσμου	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	27	C3	ἐξελέξατο	root-parent			0		unresolved-root	==ἐξελέξατο== ὁ θεός	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	1	27	C4	καταισχύνῃ	leaf	C3	subordinate	1	medium	suggested	ἵνα ==καταισχύνῃ== τὰ ἰσχυρά	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	28	C1	ἐξελέξατο	root-parent			0		unresolved-root	καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	1	28	C2	καταργήσῃ	leaf	C1	subordinate	1	medium	suggested	ἵνα τὰ ὄντα ==καταργήσῃ==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	29	C1	καυχήσηται	root-or-unresolved			0		unresolved-root	ὅπως μὴ ==καυχήσηται== πᾶσα σὰρξ ἐνώπιον τοῦ θεοῦ	no-confirmed-topology
1corintios	1	30	C1	ἐστε	root-or-unresolved			0		unresolved-root	ἐξ αὐτοῦ δὲ ὑμεῖς ==ἐστε== ἐν χριστῷ ἰησοῦ ὃς	no-confirmed-topology
1corintios	1	30	C2	ἐγενήθη	root-or-unresolved			0		unresolved-root	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις	no-confirmed-topology
1corintios	1	31	C1	γέγραπται	root-or-unresolved			0		unresolved-root	ἵνα καθὼς ==γέγραπται== ὁ καυχώμενος ἐν κυρίῳ	no-confirmed-topology
1corintios	1	31	C2	καυχάσθω	root-or-unresolved			0		unresolved-root	==καυχάσθω==	no-confirmed-topology
1corintios	2	1	C1	ἦλθον	root-or-unresolved			0		unresolved-root	κἀγὼ ἐλθὼν πρὸς ὑμᾶς ἀδελφοί ==ἦλθον== οὐ καθʼ ὑπεροχὴν λόγου ἢ σοφίας καταγγέλλων ὑμῖν τὸ μαρτύριον τοῦ θεοῦ	no-confirmed-topology
1corintios	2	2	C1	ἔκρινά	root-or-unresolved			0		unresolved-root	οὐ γὰρ ==ἔκρινά== τι εἰδέναι ἐν ὑμῖν εἰ μὴ ἰησοῦν χριστὸν καὶ τοῦτον ἐσταυρωμένον	no-confirmed-topology
1corintios	2	3	C1	ἐγενόμην	root-or-unresolved			0		unresolved-root	κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ==ἐγενόμην== πρὸς ὑμᾶς	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	2	5	C1	ᾖ	root-or-unresolved			0		unresolved-root	ἵνα ἡ πίστις ὑμῶν μὴ ==ᾖ== ἐν σοφίᾳ ἀνθρώπων ἀλλʼ ἐν δυνάμει θεοῦ	no-confirmed-topology
1corintios	2	6	C1	λαλοῦμεν	root-or-unresolved			0		unresolved-root	σοφίαν δὲ ==λαλοῦμεν== ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων	no-confirmed-topology
1corintios	2	7	C1	λαλοῦμεν	root-or-unresolved			0		unresolved-root	ἀλλὰ ==λαλοῦμεν== θεοῦ σοφίαν ἐν μυστηρίῳ τὴν ἀποκεκρυμμένην ἣν	no-confirmed-topology
