paso13_action_support_id	book	chapter	verse	reference	stream_index	predication_id	subject_support	verb_support	scope_support	paso9_candidate_labels	continuity_field_state	minimal_action_support	confidence	evidence	final_action_statement_assigned
P1300269	1corintios	7	2	7:2	269	1corintios-7-2-P01	unknown	ἐχέτω		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἐχέτω	low	"[""verb:ἐχέτω"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300270	1corintios	7	2	7:2	270	1corintios-7-2-P02	unknown	ἐχέτω		"[""EXPONE""]"	stable	sujeto no resuelto — ἐχέτω	low	"[""verb:ἐχέτω"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300271	1corintios	7	3	7:3	271	1corintios-7-3-P01	unknown	ἀποδιδότω		"[""EXPONE""]"	stable	sujeto no resuelto — ἀποδιδότω	low	"[""verb:ἀποδιδότω"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300272	1corintios	7	4	7:4	272	1corintios-7-4-P01	unknown	ἐξουσιάζει		"[""EXPONE""]"	stable	sujeto no resuelto — ἐξουσιάζει	low	"[""verb:ἐξουσιάζει"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300273	1corintios	7	4	7:4	273	1corintios-7-4-P02	unknown	ἐξουσιάζει		"[""EXPONE""]"	stable	sujeto no resuelto — ἐξουσιάζει	low	"[""verb:ἐξουσιάζει"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300274	1corintios	7	5	7:5	274	1corintios-7-5-P01	implicit-2P	ἀποστερεῖτε		"[""ACLARA""]"	transitioning	implicit-2P — ἀποστερεῖτε	low	"[""verb:ἀποστερεῖτε"", ""subject:implicit-2P"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300275	1corintios	7	5	7:5	275	1corintios-7-5-P02	implicit-2P	σχολάσητε		"[""EXPONE""]"	stable	implicit-2P — σχολάσητε	low	"[""verb:σχολάσητε"", ""subject:implicit-2P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300276	1corintios	7	5	7:5	276	1corintios-7-5-P03	implicit-2P	ἦτε		"[""CONDICIÓN"", ""PROPÓSITO"", ""EXPONE""]"	stable	implicit-2P — ἦτε	low	"[""verb:ἦτε"", ""subject:implicit-2P"", ""field:stable"", ""paso9:CONDICIÓN,PROPÓSITO,EXPONE""]"	False
P1300277	1corintios	7	5	7:5	277	1corintios-7-5-P04	implicit-3S	πειράζῃ		"[""ACLARA""]"	unstable	implicit-3S — πειράζῃ	low	"[""verb:πειράζῃ"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300278	1corintios	7	6	7:6	278	1corintios-7-6-P01	implicit-1S	λέγω		"[""PROPÓSITO"", ""ACLARA""]"	unstable	implicit-1S — λέγω	low	"[""verb:λέγω"", ""subject:implicit-1S"", ""field:unstable"", ""paso9:PROPÓSITO,ACLARA""]"	False
P1300279	1corintios	7	7	7:7	279	1corintios-7-7-P01	implicit-1S	θέλω		"[""EXPONE""]"	stable	implicit-1S — θέλω	low	"[""verb:θέλω"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300280	1corintios	7	7	7:7	280	1corintios-7-7-P02	unknown	ἔχει		"[""ACLARA""]"	unstable	sujeto no resuelto — ἔχει	low	"[""verb:ἔχει"", ""subject:unknown"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300281	1corintios	7	8	7:8	281	1corintios-7-8-P01	implicit-1S	λέγω		"[""ACLARA""]"	transitioning	implicit-1S — λέγω	low	"[""verb:λέγω"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300282	1corintios	7	8	7:8	282	1corintios-7-8-P02	implicit-3P	μείνωσιν		"[""ACLARA""]"	transitioning	implicit-3P — μείνωσιν	low	"[""verb:μείνωσιν"", ""subject:implicit-3P"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300283	1corintios	7	9	7:9	283	1corintios-7-9-P01	implicit-3P	ἐγκρατεύονται		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-3P — ἐγκρατεύονται	low	"[""verb:ἐγκρατεύονται"", ""subject:implicit-3P"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300284	1corintios	7	9	7:9	284	1corintios-7-9-P02	implicit-3P	γαμησάτωσαν		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-3P — γαμησάτωσαν	low	"[""verb:γαμησάτωσαν"", ""subject:implicit-3P"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300285	1corintios	7	9	7:9	285	1corintios-7-9-P03	implicit-3S	ἐστιν		"[""ACLARA""]"	recovering	implicit-3S — ἐστιν	low	"[""verb:ἐστιν"", ""subject:implicit-3S"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300286	1corintios	7	10	7:10	286	1corintios-7-10-P01	implicit-1S	παραγγέλλω		"[""ACLARA""]"	transitioning	implicit-1S — παραγγέλλω	low	"[""verb:παραγγέλλω"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300287	1corintios	7	11	7:11	287	1corintios-7-11-P01	implicit-3S	χωρισθῇ		"[""ACLARA""]"	transitioning	implicit-3S — χωρισθῇ	low	"[""verb:χωρισθῇ"", ""subject:implicit-3S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300288	1corintios	7	11	7:11	288	1corintios-7-11-P02	implicit-3S	μενέτω		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-3S — μενέτω	low	"[""verb:μενέτω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300289	1corintios	7	11	7:11	289	1corintios-7-11-P03	implicit-3S	καταλλαγήτω—		"[""EXPONE""]"	stable	implicit-3S — καταλλαγήτω—	low	"[""verb:καταλλαγήτω—"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300290	1corintios	7	12	7:12	290	1corintios-7-12-P01	implicit-1S	λέγω		"[""ACLARA""]"	transitioning	implicit-1S — λέγω	low	"[""verb:λέγω"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300291	1corintios	7	12	7:12	291	1corintios-7-12-P02	unknown	ἔχει		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἔχει	low	"[""verb:ἔχει"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300292	1corintios	7	12	7:12	292	1corintios-7-12-P03	unknown	συνευδοκεῖ		"[""CONDICIÓN"", ""EXPONE""]"	stable	sujeto no resuelto — συνευδοκεῖ	low	"[""verb:συνευδοκεῖ"", ""subject:unknown"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300293	1corintios	7	12	7:12	293	1corintios-7-12-P04	implicit-3S	ἀφιέτω		"[""EXPONE""]"	stable	implicit-3S — ἀφιέτω	low	"[""verb:ἀφιέτω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300294	1corintios	7	13	7:13	294	1corintios-7-13-P01	unknown	ἔχει		"[""EXPONE""]"	stable	sujeto no resuelto — ἔχει	low	"[""verb:ἔχει"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300295	1corintios	7	13	7:13	295	1corintios-7-13-P02	unknown	συνευδοκεῖ		"[""CONDICIÓN"", ""EXPONE""]"	stable	sujeto no resuelto — συνευδοκεῖ	low	"[""verb:συνευδοκεῖ"", ""subject:unknown"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300296	1corintios	7	13	7:13	296	1corintios-7-13-P03	implicit-3S	ἀφιέτω		"[""EXPONE""]"	stable	implicit-3S — ἀφιέτω	low	"[""verb:ἀφιέτω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300297	1corintios	7	14	7:14	297	1corintios-7-14-P01	implicit-3S	ἡγίασται		"[""EXPONE""]"	stable	implicit-3S — ἡγίασται	low	"[""verb:ἡγίασται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300298	1corintios	7	14	7:14	298	1corintios-7-14-P02	implicit-3S	ἡγίασται		"[""EXPONE""]"	stable	implicit-3S — ἡγίασται	low	"[""verb:ἡγίασται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300299	1corintios	7	14	7:14	299	1corintios-7-14-P03	unknown	ἐστιν		"[""EXPONE""]"	stable	sujeto no resuelto — ἐστιν	low	"[""verb:ἐστιν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300300	1corintios	7	14	7:14	300	1corintios-7-14-P04	unknown	ἐστιν		"[""EXPONE""]"	stable	sujeto no resuelto — ἐστιν	low	"[""verb:ἐστιν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300301	1corintios	7	15	7:15	301	1corintios-7-15-P01	unknown	χωρίζεται		"[""EXPONE""]"	stable	sujeto no resuelto — χωρίζεται	low	"[""verb:χωρίζεται"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300302	1corintios	7	15	7:15	302	1corintios-7-15-P02	implicit-3S	χωριζέσθω		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-3S — χωριζέσθω	low	"[""verb:χωριζέσθω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300303	1corintios	7	15	7:15	303	1corintios-7-15-P03	implicit-3S	δεδούλωται		"[""EXPONE""]"	stable	implicit-3S — δεδούλωται	low	"[""verb:δεδούλωται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300304	1corintios	7	15	7:15	304	1corintios-7-15-P04	implicit-3S	κέκληκεν		"[""EXPONE""]"	stable	implicit-3S — κέκληκεν	low	"[""verb:κέκληκεν"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300305	1corintios	7	16	7:16	305	1corintios-7-16-P01	implicit-2S	οἶδας		"[""ACLARA""]"	transitioning	implicit-2S — οἶδας	low	"[""verb:οἶδας"", ""subject:implicit-2S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300306	1corintios	7	16	7:16	306	1corintios-7-16-P02	implicit-2S	σώσεις		"[""EXPONE""]"	stable	implicit-2S — σώσεις	low	"[""verb:σώσεις"", ""subject:implicit-2S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300307	1corintios	7	16	7:16	307	1corintios-7-16-P03	implicit-2S	οἶδας		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-2S — οἶδας	low	"[""verb:οἶδας"", ""subject:implicit-2S"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300308	1corintios	7	16	7:16	308	1corintios-7-16-P04	implicit-2S	σώσεις		"[""EXPONE""]"	stable	implicit-2S — σώσεις	low	"[""verb:σώσεις"", ""subject:implicit-2S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300309	1corintios	7	17	7:17	309	1corintios-7-17-P01	implicit-3S	ἐμέρισεν		"[""CONDICIÓN"", ""ACLARA""]"	transitioning	implicit-3S — ἐμέρισεν	low	"[""verb:ἐμέρισεν"", ""subject:implicit-3S"", ""field:transitioning"", ""paso9:CONDICIÓN,ACLARA""]"	False
P1300310	1corintios	7	17	7:17	310	1corintios-7-17-P02	unknown	κέκληκεν		"[""CONDICIÓN"", ""ACLARA"", ""EXPONE""]"	stable	sujeto no resuelto — κέκληκεν	low	"[""verb:κέκληκεν"", ""subject:unknown"", ""field:stable"", ""paso9:CONDICIÓN,ACLARA,EXPONE""]"	False
P1300311	1corintios	7	17	7:17	311	1corintios-7-17-P03	unknown	περιπατείτω		"[""ACLARA"", ""EXPONE""]"	stable	sujeto no resuelto — περιπατείτω	low	"[""verb:περιπατείτω"", ""subject:unknown"", ""field:stable"", ""paso9:ACLARA,EXPONE""]"	False
P1300312	1corintios	7	17	7:17	312	1corintios-7-17-P04	implicit-1S	διατάσσομαι		"[""ACLARA""]"	transitioning	implicit-1S — διατάσσομαι	low	"[""verb:διατάσσομαι"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300313	1corintios	7	18	7:18	313	1corintios-7-18-P01	unknown	ἐκλήθη;		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἐκλήθη;	low	"[""verb:ἐκλήθη;"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300314	1corintios	7	18	7:18	314	1corintios-7-18-P02	implicit-3S	ἐπισπάσθω		"[""EXPONE""]"	stable	implicit-3S — ἐπισπάσθω	low	"[""verb:ἐπισπάσθω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300315	1corintios	7	18	7:18	315	1corintios-7-18-P03	implicit-3S	κέκληταί		"[""EXPONE""]"	stable	implicit-3S — κέκληταί	low	"[""verb:κέκληταί"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300316	1corintios	7	18	7:18	316	1corintios-7-18-P04	unknown	περιτεμνέσθω		"[""EXPONE""]"	stable	sujeto no resuelto — περιτεμνέσθω	low	"[""verb:περιτεμνέσθω"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300317	1corintios	7	19	7:19	317	1corintios-7-19-P01	unknown	ἐστιν		"[""EXPONE""]"	stable	sujeto no resuelto — ἐστιν	low	"[""verb:ἐστιν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300318	1corintios	7	19	7:19	318	1corintios-7-19-P02	unknown	ἐστιν		"[""EXPONE""]"	stable	sujeto no resuelto — ἐστιν	low	"[""verb:ἐστιν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300319	1corintios	7	20	7:20	319	1corintios-7-20-P01	implicit-3S	ἐκλήθη		"[""EXPONE""]"	stable	implicit-3S — ἐκλήθη	low	"[""verb:ἐκλήθη"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300320	1corintios	7	20	7:20	320	1corintios-7-20-P02	implicit-3S	μενέτω		"[""EXPONE""]"	stable	implicit-3S — μενέτω	low	"[""verb:μενέτω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300321	1corintios	7	21	7:21	321	1corintios-7-21-P01	implicit-2S	ἐκλήθης;		"[""ACLARA""]"	unstable	implicit-2S — ἐκλήθης;	low	"[""verb:ἐκλήθης;"", ""subject:implicit-2S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300322	1corintios	7	21	7:21	322	1corintios-7-21-P02	implicit-3S	μελέτω		"[""ACLARA""]"	unstable	implicit-3S — μελέτω	low	"[""verb:μελέτω"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300323	1corintios	7	21	7:21	323	1corintios-7-21-P03	implicit-2S	δύνασαι		"[""ACLARA""]"	transitioning	implicit-2S — δύνασαι	low	"[""verb:δύνασαι"", ""subject:implicit-2S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300324	1corintios	7	21	7:21	324	1corintios-7-21-P04	implicit-2S	χρῆσαι		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-2S — χρῆσαι	low	"[""verb:χρῆσαι"", ""subject:implicit-2S"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300325	1corintios	7	22	7:22	325	1corintios-7-22-P01	unknown	ἐστίν		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἐστίν	low	"[""verb:ἐστίν"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300326	1corintios	7	22	7:22	326	1corintios-7-22-P02	unknown	ἐστιν		"[""EXPONE""]"	stable	sujeto no resuelto — ἐστιν	low	"[""verb:ἐστιν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300327	1corintios	7	23	7:23	327	1corintios-7-23-P01	implicit-2P	ἠγοράσθητε		"[""ACLARA""]"	transitioning	implicit-2P — ἠγοράσθητε	low	"[""verb:ἠγοράσθητε"", ""subject:implicit-2P"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300328	1corintios	7	23	7:23	328	1corintios-7-23-P02	implicit-2P	γίνεσθε		"[""EXPONE""]"	stable	implicit-2P — γίνεσθε	low	"[""verb:γίνεσθε"", ""subject:implicit-2P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300329	1corintios	7	24	7:24	329	1corintios-7-24-P01	unknown	ἐκλήθη		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἐκλήθη	low	"[""verb:ἐκλήθη"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300330	1corintios	7	24	7:24	330	1corintios-7-24-P02	implicit-3S	μενέτω		"[""EXPONE""]"	stable	implicit-3S — μενέτω	low	"[""verb:μενέτω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300331	1corintios	7	25	7:25	331	1corintios-7-25-P01	implicit-1S	ἔχω		"[""ACLARA""]"	transitioning	implicit-1S — ἔχω	low	"[""verb:ἔχω"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300332	1corintios	7	25	7:25	332	1corintios-7-25-P02	implicit-1S	δίδωμι		"[""EXPONE""]"	stable	implicit-1S — δίδωμι	low	"[""verb:δίδωμι"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300333	1corintios	7	26	7:26	333	1corintios-7-26-P01	implicit-1S	νομίζω		"[""EXPONE""]"	stable	implicit-1S — νομίζω	low	"[""verb:νομίζω"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300334	1corintios	7	27	7:27	334	1corintios-7-27-P01	implicit-2S	δέδεσαι		"[""ACLARA""]"	transitioning	implicit-2S — δέδεσαι	low	"[""verb:δέδεσαι"", ""subject:implicit-2S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300335	1corintios	7	27	7:27	335	1corintios-7-27-P02	implicit-2S	ζήτει		"[""EXPONE""]"	stable	implicit-2S — ζήτει	low	"[""verb:ζήτει"", ""subject:implicit-2S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300336	1corintios	7	27	7:27	336	1corintios-7-27-P03	implicit-2S	λέλυσαι		"[""EXPONE""]"	stable	implicit-2S — λέλυσαι	low	"[""verb:λέλυσαι"", ""subject:implicit-2S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300337	1corintios	7	27	7:27	337	1corintios-7-27-P04	implicit-2S	ζήτει		"[""EXPONE""]"	stable	implicit-2S — ζήτει	low	"[""verb:ζήτει"", ""subject:implicit-2S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300338	1corintios	7	28	7:28	338	1corintios-7-28-P01	implicit-2S	γαμήσῃς		"[""EXPONE""]"	stable	implicit-2S — γαμήσῃς	low	"[""verb:γαμήσῃς"", ""subject:implicit-2S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300339	1corintios	7	28	7:28	339	1corintios-7-28-P02	implicit-2S	ἥμαρτες		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-2S — ἥμαρτες	low	"[""verb:ἥμαρτες"", ""subject:implicit-2S"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300340	1corintios	7	28	7:28	340	1corintios-7-28-P03	implicit-3S	γήμῃ		"[""ACLARA""]"	unstable	implicit-3S — γήμῃ	low	"[""verb:γήμῃ"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300341	1corintios	7	28	7:28	341	1corintios-7-28-P04	unknown	ἥμαρτεν		"[""CONDICIÓN"", ""EXPONE""]"	stable	sujeto no resuelto — ἥμαρτεν	low	"[""verb:ἥμαρτεν"", ""subject:unknown"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300342	1corintios	7	28	7:28	342	1corintios-7-28-P05	implicit-3P	ἕξουσιν		"[""ACLARA""]"	recovering	implicit-3P — ἕξουσιν	low	"[""verb:ἕξουσιν"", ""subject:implicit-3P"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300343	1corintios	7	28	7:28	343	1corintios-7-28-P06	implicit-1S	φείδομαι		"[""ACLARA""]"	unstable	implicit-1S — φείδομαι	low	"[""verb:φείδομαι"", ""subject:implicit-1S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300344	1corintios	7	29	7:29	344	1corintios-7-29-P01	implicit-1S	φημι		"[""EXPONE""]"	stable	implicit-1S — φημι	low	"[""verb:φημι"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300345	1corintios	7	29	7:29	345	1corintios-7-29-P02	unknown	ἐστίν		"[""ACLARA""]"	unstable	sujeto no resuelto — ἐστίν	low	"[""verb:ἐστίν"", ""subject:unknown"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300346	1corintios	7	29	7:29	346	1corintios-7-29-P03	unknown	ὦσιν		"[""ACLARA""]"	recovering	sujeto no resuelto — ὦσιν	low	"[""verb:ὦσιν"", ""subject:unknown"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300347	1corintios	7	31	7:31	347	1corintios-7-31-P01	implicit-3S	παράγει		"[""PROPÓSITO"", ""ACLARA""]"	recovering	implicit-3S — παράγει	low	"[""verb:παράγει"", ""subject:implicit-3S"", ""field:recovering"", ""paso9:PROPÓSITO,ACLARA""]"	False
P1300348	1corintios	7	32	7:32	348	1corintios-7-32-P01	implicit-1S	θέλω		"[""ACLARA""]"	transitioning	implicit-1S — θέλω	low	"[""verb:θέλω"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300349	1corintios	7	32	7:32	349	1corintios-7-32-P02	unknown	μεριμνᾷ		"[""ACLARA""]"	transitioning	sujeto no resuelto — μεριμνᾷ	low	"[""verb:μεριμνᾷ"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300350	1corintios	7	32	7:32	350	1corintios-7-32-P03	implicit-3S	ἀρέσῃ		"[""EXPONE""]"	stable	implicit-3S — ἀρέσῃ	low	"[""verb:ἀρέσῃ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300351	1corintios	7	33	7:33	351	1corintios-7-33-P01	implicit-3S	μεριμνᾷ		"[""EXPONE""]"	stable	implicit-3S — μεριμνᾷ	low	"[""verb:μεριμνᾷ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300352	1corintios	7	33	7:33	352	1corintios-7-33-P02	implicit-3S	ἀρέσῃ		"[""EXPONE""]"	stable	implicit-3S — ἀρέσῃ	low	"[""verb:ἀρέσῃ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300353	1corintios	7	34	7:34	353	1corintios-7-34-P01	implicit-3S	μεμέρισται		"[""EXPONE""]"	stable	implicit-3S — μεμέρισται	low	"[""verb:μεμέρισται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300354	1corintios	7	34	7:34	354	1corintios-7-34-P02	unknown	μεριμνᾷ		"[""EXPONE""]"	stable	sujeto no resuelto — μεριμνᾷ	low	"[""verb:μεριμνᾷ"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300355	1corintios	7	34	7:34	355	1corintios-7-34-P03	implicit-3S	ᾖ		"[""EXPONE""]"	stable	implicit-3S — ᾖ	low	"[""verb:ᾖ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300356	1corintios	7	34	7:34	356	1corintios-7-34-P04	implicit-3S	μεριμνᾷ		"[""PROPÓSITO"", ""EXPONE""]"	stable	implicit-3S — μεριμνᾷ	low	"[""verb:μεριμνᾷ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:PROPÓSITO,EXPONE""]"	False
P1300357	1corintios	7	34	7:34	357	1corintios-7-34-P05	implicit-3S	ἀρέσῃ		"[""EXPONE""]"	stable	implicit-3S — ἀρέσῃ	low	"[""verb:ἀρέσῃ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300358	1corintios	7	35	7:35	358	1corintios-7-35-P01	implicit-1S	λέγω		"[""ACLARA""]"	transitioning	implicit-1S — λέγω	low	"[""verb:λέγω"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300359	1corintios	7	35	7:35	359	1corintios-7-35-P02	implicit-1S	ἐπιβάλω		"[""EXPONE""]"	stable	implicit-1S — ἐπιβάλω	low	"[""verb:ἐπιβάλω"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300360	1corintios	7	36	7:36	360	1corintios-7-36-P01	unknown	νομίζει		"[""PROPÓSITO"", ""ACLARA""]"	transitioning	sujeto no resuelto — νομίζει	low	"[""verb:νομίζει"", ""subject:unknown"", ""field:transitioning"", ""paso9:PROPÓSITO,ACLARA""]"	False
P1300361	1corintios	7	36	7:36	361	1corintios-7-36-P02	implicit-3S	ᾖ		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-3S — ᾖ	low	"[""verb:ᾖ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300362	1corintios	7	36	7:36	362	1corintios-7-36-P03	implicit-3S	ὀφείλει		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-3S — ὀφείλει	low	"[""verb:ὀφείλει"", ""subject:implicit-3S"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300363	1corintios	7	36	7:36	363	1corintios-7-36-P04	implicit-3S	θέλει		"[""EXPONE""]"	stable	implicit-3S — θέλει	low	"[""verb:θέλει"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300364	1corintios	7	36	7:36	364	1corintios-7-36-P05	implicit-3S	ποιείτω		"[""EXPONE""]"	stable	implicit-3S — ποιείτω	low	"[""verb:ποιείτω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300365	1corintios	7	36	7:36	365	1corintios-7-36-P06	implicit-3S	ἁμαρτάνει		"[""EXPONE""]"	stable	implicit-3S — ἁμαρτάνει	low	"[""verb:ἁμαρτάνει"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300366	1corintios	7	36	7:36	366	1corintios-7-36-P07	implicit-3P	γαμείτωσαν		"[""ACLARA""]"	recovering	implicit-3P — γαμείτωσαν	low	"[""verb:γαμείτωσαν"", ""subject:implicit-3P"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300367	1corintios	7	37	7:37	367	1corintios-7-37-P01	implicit-3S	ἕστηκεν		"[""ACLARA""]"	recovering	implicit-3S — ἕστηκεν	low	"[""verb:ἕστηκεν"", ""subject:implicit-3S"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300368	1corintios	7	37	7:37	368	1corintios-7-37-P02	implicit-3S	ἔχει		"[""EXPONE""]"	stable	implicit-3S — ἔχει	low	"[""verb:ἔχει"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300369	1corintios	7	37	7:37	369	1corintios-7-37-P03	implicit-3S	κέκρικεν		"[""EXPONE""]"	stable	implicit-3S — κέκρικεν	low	"[""verb:κέκρικεν"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
