stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status
100	1corintios	3	8	1corintios-3-8-P01	εἰσιν	V-PAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
101	1corintios	3	8	1corintios-3-8-P02	λήμψεται	V-FMI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
102	1corintios	3	9	1corintios-3-9-P01	ἐσμεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
103	1corintios	3	9	1corintios-3-9-P02	ἐστε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
104	1corintios	3	10	1corintios-3-10-P01	ἔθηκα	V-AAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
105	1corintios	3	10	1corintios-3-10-P02	ἐποικοδομεῖ	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
106	1corintios	3	10	1corintios-3-10-P03	βλεπέτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
107	1corintios	3	10	1corintios-3-10-P04	ἐποικοδομεῖ	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
108	1corintios	3	11	1corintios-3-11-P01	δύναται	V-PMI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-10-P04	candidate	not_detected
109	1corintios	3	11	1corintios-3-11-P02	ἐστιν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-11-P01	candidate	not_detected
110	1corintios	3	12	1corintios-3-12-P01	ἐποικοδομεῖ	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
111	1corintios	3	13	1corintios-3-13-P01	γενήσεται	V-FMI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-11-P02	candidate	not_detected
112	1corintios	3	13	1corintios-3-13-P02	δηλώσει	V-FAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-13-P01	candidate	not_detected
113	1corintios	3	13	1corintios-3-13-P03	ἀποκαλύπτεται	V-PPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
114	1corintios	3	13	1corintios-3-13-P04	ἐστιν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-13-P02	candidate	not_detected
