structural_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	movement_class_counts	movement_status_counts	first_predication_id	last_predication_id	first_finite_verb	last_finite_verb
SR0406	406	1corintios	914	916	15:32	15:32	3	6	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	1corintios-15-32-P03	1corintios-15-32-P05	φάγωμεν	ἀποθνῄσκομεν
SR0407	407	1corintios	917	917	15:33	15:33	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-33-P01	1corintios-15-33-P01	πλανᾶσθε	πλανᾶσθε
SR0408	408	1corintios	918	918	15:33	15:33	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-33-P02	1corintios-15-33-P02	φθείρουσιν	φθείρουσιν
SR0409	409	1corintios	919	920	15:34	15:34	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-15-34-P01	1corintios-15-34-P02	ἐκνήψατε	ἁμαρτάνετε
SR0410	410	1corintios	921	921	15:34	15:34	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-34-P03	1corintios-15-34-P03	ἔχουσιν	ἔχουσιν
SR0411	411	1corintios	922	922	15:34	15:34	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-15-34-P04	1corintios-15-34-P04	λαλῶ	λαλῶ
SR0412	412	1corintios	923	923	15:35	15:35	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-35-P01	1corintios-15-35-P01	ἐρεῖ	ἐρεῖ
SR0413	413	1corintios	924	925	15:35	15:35	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-15-35-P02	1corintios-15-35-P03	ἐγείρονται	ἔρχονται
SR0414	414	1corintios	926	926	15:36	15:36	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-15-36-P01	1corintios-15-36-P01	σπείρεις	σπείρεις
SR0415	415	1corintios	927	928	15:36	15:36	2	6	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-15-36-P02	1corintios-15-36-P03	ζῳοποιεῖται	ἀποθάνῃ
SR0416	416	1corintios	929	930	15:37	15:37	2	6	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-15-37-P01	1corintios-15-37-P02	σπείρεις	σπείρεις
SR0417	417	1corintios	931	946	15:37	15:45	16	16	"{""stable"": 10, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 5, ""none"": 10, ""strong"": 1}"	1corintios-15-37-P03	1corintios-15-45-P02	τύχοι	ἐγένετο
SR0418	418	1corintios	947	948	15:49	15:49	2	10	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-15-49-P01	1corintios-15-49-P02	ἐφορέσαμεν	φορέσομεν
