BOOK	CH	VS	CLAUSE_ID	FINITE_G_IDX	FINITE_GREEK	FINITE_LEMMA	FINITE_RMAC	SPAN_START	SPAN_END	SPAN_GIDX	SPAN_TEXT	SPAN_STATUS	BOUNDARY_NOTES
1corintios	10	10	C3	08	ἀπώλοντο	ἀπόλλυμι	V-AMI-3P	08	11	08,09,10,11	==ἀπώλοντο== ὑπὸ τοῦ ὀλοθρευτοῦ	suggested-span	neutral finite-anchor region
1corintios	10	11	C1	04	συνέβαινεν	συμβαίνω	V-IAI-3S	01	05	01,02,03,04,05	ταῦτα δὲ τυπικῶς ==συνέβαινεν== ἐκείνοις	suggested-span	neutral finite-anchor region
1corintios	10	11	C2	06	ἐγράφη	γράφω	V-API-3S	06	16	06,07,08,09,10,11,12,13,14,15,16	==ἐγράφη== δὲ πρὸς νουθεσίαν ἡμῶν εἰς οὓς τὰ τέλη τῶν αἰώνων	suggested-span	neutral finite-anchor region
1corintios	10	11	C3	17	κατήντηκεν	καταντάω	V-XAI-3S	17	17	17	==κατήντηκεν==	suggested-span	neutral finite-anchor region
1corintios	10	12	C1	05	βλεπέτω	βλέπω	V-PAD-3S	01	06	01,02,03,04,05,06	ὥστε ὁ δοκῶν ἑστάναι ==βλεπέτω== μὴ	suggested-span	neutral finite-anchor region
1corintios	10	12	C2	07	πέσῃ	πίπτω	V-AAS-3S	07	07	07	==πέσῃ==	suggested-span	neutral finite-anchor region
1corintios	10	13	C1	04	εἴληφεν	λαμβάνω	V-XAI-3S	01	13	01,02,03,04,05,06,07,08,09,10,11,12,13	πειρασμὸς ὑμᾶς οὐκ ==εἴληφεν== εἰ μὴ ἀνθρώπινος πιστὸς δὲ ὁ θεός ὃς οὐκ	suggested-span	neutral finite-anchor region
1corintios	10	13	C2	14	ἐάσει	ἐάω	V-FAI-3S	14	18	14,15,16,17,18	==ἐάσει== ὑμᾶς πειρασθῆναι ὑπὲρ ὃ	suggested-span	neutral finite-anchor region
1corintios	10	13	C3	19	δύνασθε	δύναμαι	V-PMI-2P	19	20	19,20	==δύνασθε== ἀλλὰ	suggested-span	neutral finite-anchor region
1corintios	10	13	C4	21	ποιήσει	ποιέω	V-FAI-3S	21	30	21,22,23,24,25,26,27,28,29,30	==ποιήσει== σὺν τῷ πειρασμῷ καὶ τὴν ἔκβασιν τοῦ δύνασθαι ὑπενεγκεῖν	suggested-span	neutral finite-anchor region
