structural_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	movement_class_counts	movement_status_counts	first_predication_id	last_predication_id	first_finite_verb	last_finite_verb
SR0274	274	1corintios	795	796	14:23	14:23	2	2	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-14-23-P03	1corintios-14-23-P04	εἰσέλθωσιν	ἐροῦσιν
SR0275	275	1corintios	797	798	14:23	14:24	2	4	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-14-23-P05	1corintios-14-24-P01	μαίνεσθε	προφητεύωσιν
SR0276	276	1corintios	799	805	14:24	14:26	7	10	"{""stable"": 4, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 4, ""strong"": 1}"	1corintios-14-24-P02	1corintios-14-26-P01	εἰσέλθῃ	ἐστιν
SR0277	277	1corintios	806	806	14:26	14:26	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-26-P02	1corintios-14-26-P02	συνέρχησθε	συνέρχησθε
SR0278	278	1corintios	807	821	14:26	14:30	15	14	"{""stable"": 10, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 10, ""strong"": 1}"	1corintios-14-26-P03	1corintios-14-30-P02	ἔχει	σιγάτω
SR0279	279	1corintios	822	822	14:31	14:31	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-31-P01	1corintios-14-31-P01	δύνασθε	δύνασθε
SR0280	280	1corintios	823	823	14:31	14:31	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-31-P02	1corintios-14-31-P02	μανθάνωσιν	μανθάνωσιν
SR0281	281	1corintios	824	825	14:31	14:32	2	6	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-14-31-P03	1corintios-14-32-P01	παρακαλῶνται	ὑποτάσσεται
SR0282	282	1corintios	826	828	14:33	14:34	3	4	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	1corintios-14-33-P01	1corintios-14-34-P02	ἐστιν	ἐπιτρέπεται
SR0283	283	1corintios	829	837	14:34	14:37	9	12	"{""stable"": 3, ""structural"": 2, ""turbulence"": 4}"	"{""candidate"": 6, ""none"": 3}"	1corintios-14-34-P03	1corintios-14-37-P02	ὑποτασσέσθωσαν	ἐπιγινωσκέτω
SR0284	284	1corintios	838	838	14:37	14:37	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-37-P03	1corintios-14-37-P03	γράφω	γράφω
SR0285	285	1corintios	839	841	14:37	14:38	3	6	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	1corintios-14-37-P04	1corintios-14-38-P02	ἐστίν	ἀγνοεῖται
SR0286	286	1corintios	842	843	14:39	14:39	2	8	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-14-39-P01	1corintios-14-39-P02	ζηλοῦτε	κωλύετε
SR0287	287	1corintios	844	844	14:40	14:40	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-40-P01	1corintios-14-40-P01	γινέσθω	γινέσθω
SR0288	288	1corintios	845	846	15:1	15:1	2	2	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-15-1-P01	1corintios-15-1-P02	γνωρίζω	εὐηγγελισάμην
