book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	10:10	506	ἐκπειράζωμεν	1corintios-10-9-P01	176	ἀπώλοντο	1corintios-10-10-P03	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	6	10:9	501	SR0176	10	['SR0177', 'SR0178']	SMR0060
1corintios	10:15	519	συνέβαινεν	1corintios-10-11-P01	179	φημι	1corintios-10-15-P03	"{""stable"": 3, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 5, ""none"": 3}"	13	10:11	507	SR0179	34	['SR0180', 'SR0181', 'SR0182', 'SR0183', 'SR0184']	SMR0061
1corintios	10:18	527	εὐλογοῦμεν	1corintios-10-16-P01	185	εἰσίν	1corintios-10-18-P02	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	8	10:16	520	SR0185	8	['SR0186']	SMR0062
1corintios	10:21	535	φημι	1corintios-10-19-P01	187	δύνασθε	1corintios-10-21-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2}"	8	10:19	528	SR0187	16	['SR0188', 'SR0189']	SMR0063
1corintios	11:3	568	παραζηλοῦμεν	1corintios-10-22-P01	190	ἐστιν	1corintios-11-3-P02	"{""stable"": 14, ""structural"": 4, ""turbulence"": 6}"	"{""candidate"": 10, ""none"": 14}"	33	10:22	536	SR0190	64	['SR0191', 'SR0192', 'SR0193', 'SR0194', 'SR0195', 'SR0196', 'SR0197', 'SR0198']	SMR0064
1corintios	11:13	580	καταισχύνει	1corintios-11-4-P01	199	κρίνατε	1corintios-11-13-P01	"{""stable"": 6, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 6, ""strong"": 1}"	12	11:4	569	SR0199	16	['SR0200']	SMR0065
1corintios	11:18	593	ἐστὶν	1corintios-11-13-P02	201	πιστεύω	1corintios-11-18-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 6, ""none"": 2}"	13	11:13	581	SR0201	34	['SR0202', 'SR0203', 'SR0204', 'SR0205']	SMR0066
1corintios	11:21	599	δεῖ	1corintios-11-19-P01	206	μεθύει	1corintios-11-21-P03	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	6	11:19	594	SR0206	6		SMR0067
1corintios	11:22	602	ἔχετε	1corintios-11-22-P01	207	καταισχύνετε	1corintios-11-22-P03	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	11:22	600	SR0207	4		SMR0068
1corintios	11:30	629	εἴπω	1corintios-11-22-P04	208	κοιμῶνται	1corintios-11-30-P01	"{""stable"": 17, ""structural"": 4, ""turbulence"": 5}"	"{""candidate"": 8, ""none"": 17, ""strong"": 1}"	27	11:22	603	SR0208	28	['SR0209']	SMR0069
1corintios	12:1	640	διεκρίνομεν	1corintios-11-31-P01	210	θέλω	1corintios-12-1-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	11	11:31	630	SR0210	28	['SR0211', 'SR0212', 'SR0213', 'SR0214', 'SR0215']	SMR0070
1corintios	12:3	646	οἴδατε	1corintios-12-2-P01	216	δύναται	1corintios-12-3-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	6	12:2	641	SR0216	24	['SR0217', 'SR0218', 'SR0219']	SMR0071
1corintios	12:6	649	εἰσίν	1corintios-12-4-P01	220	εἰσίν	1corintios-12-6-P01	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	12:4	647	SR0220	4		SMR0072
1corintios	12:12	656	δίδοται	1corintios-12-7-P01	221	ἐστιν	1corintios-12-12-P03	"{""stable"": 4, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 4}"	7	12:7	650	SR0221	6		SMR0073
1corintios	12:16	666	ἐβαπτίσθημεν	1corintios-12-13-P01	222	εἰμὶ	1corintios-12-16-P03	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	10	12:13	657	SR0222	22	['SR0223', 'SR0224', 'SR0225', 'SR0226']	SMR0074
1corintios	12:25	681	ἔστιν	1corintios-12-16-P04	227	μεριμνῶσι	1corintios-12-25-P02	"{""stable"": 8, ""structural"": 3, ""turbulence"": 2}"	"{""candidate"": 5, ""none"": 8}"	15	12:16	667	SR0227	20	['SR0228', 'SR0229']	SMR0075
1corintios	12:27	686	πάσχει	1corintios-12-26-P01	230	ἐστε	1corintios-12-27-P01	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	5	12:26	682	SR0230	6	['SR0231']	SMR0076
1corintios	12:31	692	ἔθετο	1corintios-12-28-P01	232	δείκνυμι	1corintios-12-31-P02	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	6	12:28	687	SR0232	12	['SR0233', 'SR0234']	SMR0077
1corintios	13:10	723	λαλῶ	1corintios-13-1-P01	235	καταργηθήσεται	1corintios-13-10-P02	"{""stable"": 20, ""structural"": 1, ""turbulence"": 6}"	"{""candidate"": 7, ""none"": 20}"	31	13:1	693	SR0235	30	['SR0236', 'SR0237', 'SR0238']	SMR0078
1corintios	13:12	730	ἤμην	1corintios-13-11-P01	239	βλέπομεν	1corintios-13-12-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""none"": 2, ""strong"": 1}"	7	13:11	724	SR0239	12	['SR0240']	SMR0079
1corintios	13:13	734	γινώσκω	1corintios-13-12-P02	241	μένει	1corintios-13-13-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	4	13:12	731	SR0241	8	['SR0242']	SMR0080
1corintios	14:1	737	διώκετε	1corintios-14-1-P01	243	προφητεύητε	1corintios-14-1-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	3	14:1	735	SR0243	6		SMR0081
1corintios	14:5	744	λαλεῖ	1corintios-14-2-P01	244	θέλω	1corintios-14-5-P01	"{""stable"": 5, ""structural"": 1}"	"{""none"": 5, ""strong"": 1}"	7	14:2	738	SR0244	8	['SR0245']	SMR0082
1corintios	14:5	747	προφητεύητε	1corintios-14-5-P02	246	λάβῃ	1corintios-14-5-P04	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	14:5	745	SR0246	6		SMR0083
1corintios	14:9	756	ἔλθω	1corintios-14-6-P01	247	γνωσθήσεται	1corintios-14-9-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	9	14:6	748	SR0247	32	['SR0248', 'SR0249', 'SR0250', 'SR0251', 'SR0252']	SMR0084
1corintios	14:11	761	ἔσεσθε	1corintios-14-9-P03	253	ἔσομαι	1corintios-14-11-P02	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	5	14:9	757	SR0253	16	['SR0254']	SMR0085
1corintios	14:15	770	ἐστε	1corintios-14-12-P01	255	ἐστιν	1corintios-14-15-P01	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""strong"": 1}"	9	14:12	762	SR0255	30	['SR0256', 'SR0257', 'SR0258', 'SR0259']	SMR0086
1corintios	14:17	780	προσεύξομαι	1corintios-14-15-P02	260	οἰκοδομεῖται	1corintios-14-17-P02	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	10	14:15	771	SR0260	20	['SR0261', 'SR0262', 'SR0263', 'SR0264', 'SR0265']	SMR0087
1corintios	14:19	784	εὐχαριστῶ	1corintios-14-18-P01	266	κατηχήσω	1corintios-14-19-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	4	14:18	781	SR0266	4		SMR0088
1corintios	14:24	798	γίνεσθε	1corintios-14-20-P01	267	προφητεύωσιν	1corintios-14-24-P01	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	14	14:20	785	SR0267	36	['SR0268', 'SR0269', 'SR0270', 'SR0271', 'SR0272', 'SR0273', 'SR0274', 'SR0275']	SMR0089
1corintios	14:26	806	εἰσέλθῃ	1corintios-14-24-P02	276	συνέρχησθε	1corintios-14-26-P02	"{""stable"": 4, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 4, ""strong"": 1}"	8	14:24	799	SR0276	16	['SR0277']	SMR0090
1corintios	14:32	825	ἔχει	1corintios-14-26-P03	278	ὑποτάσσεται	1corintios-14-32-P01	"{""stable"": 10, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 10, ""strong"": 1}"	19	14:26	807	SR0278	30	['SR0279', 'SR0280', 'SR0281']	SMR0091
1corintios	14:34	828	ἐστιν	1corintios-14-33-P01	282	ἐπιτρέπεται	1corintios-14-34-P02	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	14:33	826	SR0282	4		SMR0092
1corintios	14:37	838	ὑποτασσέσθωσαν	1corintios-14-34-P03	283	γράφω	1corintios-14-37-P03	"{""stable"": 3, ""structural"": 2, ""turbulence"": 4}"	"{""candidate"": 6, ""none"": 3}"	10	14:34	829	SR0283	14	['SR0284']	SMR0093
1corintios	15:1	846	ἐστίν	1corintios-14-37-P04	285	εὐηγγελισάμην	1corintios-15-1-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	8	14:37	839	SR0285	20	['SR0286', 'SR0287', 'SR0288']	SMR0094
1corintios	15:3	855	παρελάβετε	1corintios-15-1-P03	289	ἀπέθανεν	1corintios-15-3-P03	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	9	15:1	847	SR0289	26	['SR0290', 'SR0291', 'SR0292', 'SR0293']	SMR0095
1corintios	15:8	863	ἐτάφη	1corintios-15-4-P01	294	ὤφθη	1corintios-15-8-P01	"{""stable"": 3, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 3}"	8	15:4	856	SR0294	10	['SR0295', 'SR0296']	SMR0096
1corintios	15:11	871	εἰμι	1corintios-15-9-P01	297	κηρύσσομεν	1corintios-15-11-P01	"{""stable"": 6, ""structural"": 1}"	"{""candidate"": 1, ""none"": 6}"	8	15:9	864	SR0297	4	['SR0298']	SMR0097
1corintios	15:15	881	ἐπιστεύσατε	1corintios-15-11-P02	299	ἐμαρτυρήσαμεν	1corintios-15-15-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	10	15:11	872	SR0299	28	['SR0300', 'SR0301', 'SR0302', 'SR0303', 'SR0304']	SMR0098
1corintios	15:18	889	ἤγειρεν	1corintios-15-15-P03	305	ἀπώλοντο	1corintios-15-18-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 5, ""none"": 1}"	8	15:15	882	SR0305	18	['SR0306']	SMR0099
1corintios	15:28	905	ἐσμὲν	1corintios-15-19-P01	307	ᾖ	1corintios-15-28-P03	"{""stable"": 9, ""structural"": 1, ""turbulence"": 6}"	"{""candidate"": 6, ""none"": 9, ""strong"": 1}"	16	15:19	890	SR0307	16		SMR0100
1corintios	15:30	909	ποιήσουσιν	1corintios-15-29-P01	308	κινδυνεύομεν	1corintios-15-30-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	4	15:29	906	SR0308	6	['SR0309']	SMR0101
