movement_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	first_predication_id	last_predication_id
MR0160	160	1corintios	160	160	4:7	4:7	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-7-P04	1corintios-4-7-P04
MR0161	161	1corintios	161	161	4:7	4:7	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-7-P05	1corintios-4-7-P05
MR0162	162	1corintios	162	162	4:8	4:8	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-4-8-P01	1corintios-4-8-P01
MR0163	163	1corintios	163	163	4:8	4:8	1	none	"{""none"": 1}"	{}	1corintios-4-8-P02	1corintios-4-8-P02
MR0164	164	1corintios	164	164	4:8	4:8	1	none	"{""none"": 1}"	{}	1corintios-4-8-P03	1corintios-4-8-P03
MR0165	165	1corintios	165	165	4:8	4:8	1	none	"{""none"": 1}"	{}	1corintios-4-8-P04	1corintios-4-8-P04
MR0166	166	1corintios	166	166	4:8	4:8	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-8-P05	1corintios-4-8-P05
MR0167	167	1corintios	167	167	4:9	4:9	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-4-9-P01	1corintios-4-9-P01
MR0168	168	1corintios	168	168	4:9	4:9	1	none	"{""none"": 1}"	{}	1corintios-4-9-P02	1corintios-4-9-P02
MR0169	169	1corintios	169	169	4:9	4:9	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-4-9-P03	1corintios-4-9-P03
MR0170	170	1corintios	170	170	4:11	4:11	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-11-P01	1corintios-4-11-P01
MR0171	171	1corintios	171	171	4:11	4:11	1	none	"{""none"": 1}"	{}	1corintios-4-11-P02	1corintios-4-11-P02
MR0172	172	1corintios	172	176	4:11	4:12	5	none	"{""none"": 5}"	{}	1corintios-4-11-P03	1corintios-4-12-P02
MR0173	173	1corintios	177	177	4:12	4:12	1	none	"{""none"": 1}"	{}	1corintios-4-12-P03	1corintios-4-12-P03
MR0174	174	1corintios	178	178	4:13	4:13	1	none	"{""none"": 1}"	{}	1corintios-4-13-P01	1corintios-4-13-P01
MR0175	175	1corintios	179	179	4:13	4:13	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-13-P02	1corintios-4-13-P02
MR0176	176	1corintios	180	180	4:14	4:14	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-4-14-P01	1corintios-4-14-P01
MR0177	177	1corintios	181	181	4:15	4:15	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-15-P01	1corintios-4-15-P01
MR0178	178	1corintios	182	182	4:15	4:15	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-15-P02	1corintios-4-15-P02
MR0179	179	1corintios	183	183	4:16	4:16	1	none	"{""none"": 1}"	{}	1corintios-4-16-P01	1corintios-4-16-P01
MR0180	180	1corintios	184	184	4:16	4:16	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-4-16-P02	1corintios-4-16-P02
MR0181	181	1corintios	185	185	4:17	4:17	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-4-17-P01	1corintios-4-17-P01
MR0182	182	1corintios	186	186	4:17	4:17	1	none	"{""none"": 1}"	{}	1corintios-4-17-P02	1corintios-4-17-P02
MR0183	183	1corintios	187	187	4:17	4:17	1	none	"{""none"": 1}"	{}	1corintios-4-17-P03	1corintios-4-17-P03
MR0184	184	1corintios	188	188	4:17	4:17	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-17-P04	1corintios-4-17-P04
MR0185	185	1corintios	189	189	4:18	4:18	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-4-18-P01	1corintios-4-18-P01
MR0186	186	1corintios	190	190	4:19	4:19	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-19-P01	1corintios-4-19-P01
MR0187	187	1corintios	191	191	4:19	4:19	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-19-P02	1corintios-4-19-P02
MR0188	188	1corintios	192	192	4:19	4:19	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-19-P03	1corintios-4-19-P03
MR0189	189	1corintios	193	193	4:21	4:21	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-4-21-P01	1corintios-4-21-P01
MR0190	190	1corintios	194	194	4:21	4:21	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-4-21-P02	1corintios-4-21-P02
MR0191	191	1corintios	195	195	5:1	5:1	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-5-1-P01	1corintios-5-1-P01
MR0192	192	1corintios	196	196	5:2	5:2	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-5-2-P01	1corintios-5-2-P01
MR0193	193	1corintios	197	197	5:2	5:2	1	none	"{""none"": 1}"	{}	1corintios-5-2-P02	1corintios-5-2-P02
MR0194	194	1corintios	198	198	5:2	5:2	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-2-P03	1corintios-5-2-P03
MR0195	195	1corintios	199	199	5:3	5:3	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-3-P01	1corintios-5-3-P01
MR0196	196	1corintios	200	200	5:5	5:5	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-5-P01	1corintios-5-5-P01
MR0197	197	1corintios	201	201	5:6	5:6	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-6-P01	1corintios-5-6-P01
MR0198	198	1corintios	202	202	5:6	5:6	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-6-P02	1corintios-5-6-P02
MR0199	199	1corintios	203	203	5:7	5:7	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-7-P01	1corintios-5-7-P01
MR0200	200	1corintios	204	204	5:7	5:7	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-5-7-P02	1corintios-5-7-P02
MR0201	201	1corintios	205	205	5:7	5:7	1	none	"{""none"": 1}"	{}	1corintios-5-7-P03	1corintios-5-7-P03
MR0202	202	1corintios	206	206	5:7	5:7	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-5-7-P04	1corintios-5-7-P04
MR0203	203	1corintios	207	207	5:8	5:8	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-8-P01	1corintios-5-8-P01
MR0204	204	1corintios	208	208	5:9	5:9	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-5-9-P01	1corintios-5-9-P01
MR0205	205	1corintios	209	209	5:10	5:10	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-10-P01	1corintios-5-10-P01
MR0206	206	1corintios	210	210	5:11	5:11	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-11-P01	1corintios-5-11-P01
MR0207	207	1corintios	211	211	5:11	5:11	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-5-11-P02	1corintios-5-11-P02
MR0208	208	1corintios	212	212	5:12	5:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-5-12-P01	1corintios-5-12-P01
MR0209	209	1corintios	213	213	5:13	5:13	1	none	"{""none"": 1}"	{}	1corintios-5-13-P01	1corintios-5-13-P01
MR0210	210	1corintios	214	214	5:13	5:13	1	none	"{""none"": 1}"	{}	1corintios-5-13-P02	1corintios-5-13-P02
MR0211	211	1corintios	215	215	6:1	6:1	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-1-P01	1corintios-6-1-P01
MR0212	212	1corintios	216	216	6:2	6:2	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-2-P01	1corintios-6-2-P01
MR0213	213	1corintios	217	217	6:2	6:2	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-2-P02	1corintios-6-2-P02
MR0214	214	1corintios	218	218	6:2	6:2	1	none	"{""none"": 1}"	{}	1corintios-6-2-P03	1corintios-6-2-P03
MR0215	215	1corintios	219	219	6:2	6:2	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-6-2-P04	1corintios-6-2-P04
MR0216	216	1corintios	220	220	6:3	6:3	1	none	"{""none"": 1}"	{}	1corintios-6-3-P01	1corintios-6-3-P01
MR0217	217	1corintios	221	221	6:3	6:3	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-6-3-P02	1corintios-6-3-P02
MR0218	218	1corintios	222	222	6:4	6:4	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-6-4-P01	1corintios-6-4-P01
MR0219	219	1corintios	223	223	6:4	6:4	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-4-P02	1corintios-6-4-P02
MR0220	220	1corintios	224	224	6:5	6:5	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-5-P01	1corintios-6-5-P01
MR0221	221	1corintios	225	225	6:5	6:5	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-6-5-P02	1corintios-6-5-P02
MR0222	222	1corintios	226	226	6:5	6:5	1	none	"{""none"": 1}"	{}	1corintios-6-5-P03	1corintios-6-5-P03
MR0223	223	1corintios	227	227	6:6	6:6	1	none	"{""none"": 1}"	{}	1corintios-6-6-P01	1corintios-6-6-P01
MR0224	224	1corintios	228	228	6:7	6:7	1	none	"{""none"": 1}"	{}	1corintios-6-7-P01	1corintios-6-7-P01
MR0225	225	1corintios	229	229	6:7	6:7	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-6-7-P02	1corintios-6-7-P02
MR0226	226	1corintios	230	230	6:7	6:7	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-7-P03	1corintios-6-7-P03
MR0227	227	1corintios	231	231	6:7	6:7	1	none	"{""none"": 1}"	{}	1corintios-6-7-P04	1corintios-6-7-P04
MR0228	228	1corintios	232	232	6:8	6:8	1	none	"{""none"": 1}"	{}	1corintios-6-8-P01	1corintios-6-8-P01
MR0229	229	1corintios	233	233	6:8	6:8	1	none	"{""none"": 1}"	{}	1corintios-6-8-P02	1corintios-6-8-P02
MR0230	230	1corintios	234	234	6:9	6:9	1	none	"{""none"": 1}"	{}	1corintios-6-9-P01	1corintios-6-9-P01
MR0231	231	1corintios	235	235	6:9	6:9	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-9-P02	1corintios-6-9-P02
MR0232	232	1corintios	236	236	6:9	6:9	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-9-P03	1corintios-6-9-P03
MR0233	233	1corintios	237	237	6:10	6:10	1	none	"{""none"": 1}"	{}	1corintios-6-10-P01	1corintios-6-10-P01
MR0234	234	1corintios	238	241	6:11	6:11	4	none	"{""none"": 4}"	{}	1corintios-6-11-P01	1corintios-6-11-P04
MR0235	235	1corintios	242	242	6:12	6:12	1	none	"{""none"": 1}"	{}	1corintios-6-12-P01	1corintios-6-12-P01
MR0236	236	1corintios	243	243	6:12	6:12	1	none	"{""none"": 1}"	{}	1corintios-6-12-P02	1corintios-6-12-P02
MR0237	237	1corintios	244	244	6:12	6:12	1	none	"{""none"": 1}"	{}	1corintios-6-12-P03	1corintios-6-12-P03
MR0238	238	1corintios	245	245	6:12	6:12	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-12-P04	1corintios-6-12-P04
MR0239	239	1corintios	246	246	6:13	6:13	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-6-13-P01	1corintios-6-13-P01
MR0240	240	1corintios	247	247	6:14	6:14	1	none	"{""none"": 1}"	{}	1corintios-6-14-P01	1corintios-6-14-P01
MR0241	241	1corintios	248	248	6:14	6:14	1	none	"{""none"": 1}"	{}	1corintios-6-14-P02	1corintios-6-14-P02
MR0242	242	1corintios	249	249	6:15	6:15	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-15-P01	1corintios-6-15-P01
MR0243	243	1corintios	250	250	6:15	6:15	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-15-P02	1corintios-6-15-P02
MR0244	244	1corintios	251	251	6:15	6:15	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-15-P03	1corintios-6-15-P03
MR0245	245	1corintios	252	252	6:15	6:15	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-6-15-P04	1corintios-6-15-P04
MR0246	246	1corintios	253	253	6:16	6:16	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-16-P01	1corintios-6-16-P01
MR0247	247	1corintios	254	254	6:16	6:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-16-P02	1corintios-6-16-P02
MR0248	248	1corintios	255	255	6:16	6:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-16-P03	1corintios-6-16-P03
MR0249	249	1corintios	256	256	6:16	6:16	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-6-16-P04	1corintios-6-16-P04
MR0250	250	1corintios	257	257	6:17	6:17	1	none	"{""none"": 1}"	{}	1corintios-6-17-P01	1corintios-6-17-P01
MR0251	251	1corintios	258	258	6:18	6:18	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-18-P01	1corintios-6-18-P01
MR0252	252	1corintios	259	259	6:18	6:18	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-18-P02	1corintios-6-18-P02
MR0253	253	1corintios	260	260	6:18	6:18	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-18-P03	1corintios-6-18-P03
MR0254	254	1corintios	261	261	6:18	6:18	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-18-P04	1corintios-6-18-P04
MR0255	255	1corintios	262	262	6:19	6:19	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-6-19-P01	1corintios-6-19-P01
MR0256	256	1corintios	263	263	6:19	6:19	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-19-P02	1corintios-6-19-P02
MR0257	257	1corintios	264	264	6:19	6:19	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-6-19-P03	1corintios-6-19-P03
MR0258	258	1corintios	265	265	6:19	6:19	1	none	"{""none"": 1}"	{}	1corintios-6-19-P04	1corintios-6-19-P04
MR0259	259	1corintios	266	267	6:20	6:20	2	none	"{""none"": 2}"	{}	1corintios-6-20-P01	1corintios-6-20-P02
MR0260	260	1corintios	268	272	7:1	7:4	5	none	"{""none"": 5}"	{}	1corintios-7-1-P01	1corintios-7-4-P01
MR0261	261	1corintios	273	273	7:4	7:4	1	none	"{""none"": 1}"	{}	1corintios-7-4-P02	1corintios-7-4-P02
MR0262	262	1corintios	274	274	7:5	7:5	1	none	"{""none"": 1}"	{}	1corintios-7-5-P01	1corintios-7-5-P01
MR0263	263	1corintios	275	275	7:5	7:5	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-5-P02	1corintios-7-5-P02
MR0264	264	1corintios	276	276	7:5	7:5	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-5-P03	1corintios-7-5-P03
MR0265	265	1corintios	277	277	7:5	7:5	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-7-5-P04	1corintios-7-5-P04
MR0266	266	1corintios	278	278	7:6	7:6	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-7-6-P01	1corintios-7-6-P01
MR0267	267	1corintios	279	279	7:7	7:7	1	none	"{""none"": 1}"	{}	1corintios-7-7-P01	1corintios-7-7-P01
MR0268	268	1corintios	280	280	7:7	7:7	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-7-7-P02	1corintios-7-7-P02
MR0269	269	1corintios	281	281	7:8	7:8	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-7-8-P01	1corintios-7-8-P01
MR0270	270	1corintios	282	282	7:8	7:8	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-7-8-P02	1corintios-7-8-P02
MR0271	271	1corintios	283	283	7:9	7:9	1	none	"{""none"": 1}"	{}	1corintios-7-9-P01	1corintios-7-9-P01
MR0272	272	1corintios	284	284	7:9	7:9	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-9-P02	1corintios-7-9-P02
MR0273	273	1corintios	285	285	7:9	7:9	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-7-9-P03	1corintios-7-9-P03
MR0274	274	1corintios	286	286	7:10	7:10	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-10-P01	1corintios-7-10-P01
MR0275	275	1corintios	287	287	7:11	7:11	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-7-11-P01	1corintios-7-11-P01
MR0276	276	1corintios	288	288	7:11	7:11	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-11-P02	1corintios-7-11-P02
MR0277	277	1corintios	289	289	7:11	7:11	1	none	"{""none"": 1}"	{}	1corintios-7-11-P03	1corintios-7-11-P03
MR0278	278	1corintios	290	290	7:12	7:12	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-12-P01	1corintios-7-12-P01
MR0279	279	1corintios	291	291	7:12	7:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-12-P02	1corintios-7-12-P02
MR0280	280	1corintios	292	292	7:12	7:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-12-P03	1corintios-7-12-P03
MR0281	281	1corintios	293	293	7:12	7:12	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-12-P04	1corintios-7-12-P04
MR0282	282	1corintios	294	294	7:13	7:13	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-13-P01	1corintios-7-13-P01
MR0283	283	1corintios	295	295	7:13	7:13	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-13-P02	1corintios-7-13-P02
MR0284	284	1corintios	296	296	7:13	7:13	1	none	"{""none"": 1}"	{}	1corintios-7-13-P03	1corintios-7-13-P03
MR0285	285	1corintios	297	297	7:14	7:14	1	none	"{""none"": 1}"	{}	1corintios-7-14-P01	1corintios-7-14-P01
MR0286	286	1corintios	298	298	7:14	7:14	1	none	"{""none"": 1}"	{}	1corintios-7-14-P02	1corintios-7-14-P02
MR0287	287	1corintios	299	299	7:14	7:14	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-14-P03	1corintios-7-14-P03
MR0288	288	1corintios	300	300	7:14	7:14	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-14-P04	1corintios-7-14-P04
MR0289	289	1corintios	301	301	7:15	7:15	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-15-P01	1corintios-7-15-P01
MR0290	290	1corintios	302	302	7:15	7:15	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-15-P02	1corintios-7-15-P02
MR0291	291	1corintios	303	303	7:15	7:15	1	none	"{""none"": 1}"	{}	1corintios-7-15-P03	1corintios-7-15-P03
MR0292	292	1corintios	304	304	7:15	7:15	1	none	"{""none"": 1}"	{}	1corintios-7-15-P04	1corintios-7-15-P04
MR0293	293	1corintios	305	305	7:16	7:16	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-16-P01	1corintios-7-16-P01
MR0294	294	1corintios	306	306	7:16	7:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-16-P02	1corintios-7-16-P02
MR0295	295	1corintios	307	307	7:16	7:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-16-P03	1corintios-7-16-P03
MR0296	296	1corintios	308	308	7:16	7:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-16-P04	1corintios-7-16-P04
MR0297	297	1corintios	309	309	7:17	7:17	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-17-P01	1corintios-7-17-P01
MR0298	298	1corintios	310	310	7:17	7:17	1	none	"{""none"": 1}"	{}	1corintios-7-17-P02	1corintios-7-17-P02
MR0299	299	1corintios	311	311	7:17	7:17	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-17-P03	1corintios-7-17-P03
MR0300	300	1corintios	312	312	7:17	7:17	1	none	"{""none"": 1}"	{}	1corintios-7-17-P04	1corintios-7-17-P04
MR0301	301	1corintios	313	313	7:18	7:18	1	none	"{""none"": 1}"	{}	1corintios-7-18-P01	1corintios-7-18-P01
MR0302	302	1corintios	314	318	7:18	7:19	5	none	"{""candidate"": 1, ""none"": 4}"	"{""person_change"": 1}"	1corintios-7-18-P02	1corintios-7-19-P02
MR0303	303	1corintios	319	319	7:20	7:20	1	none	"{""none"": 1}"	{}	1corintios-7-20-P01	1corintios-7-20-P01
MR0304	304	1corintios	320	320	7:20	7:20	1	none	"{""none"": 1}"	{}	1corintios-7-20-P02	1corintios-7-20-P02
MR0305	305	1corintios	321	321	7:21	7:21	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-21-P01	1corintios-7-21-P01
MR0306	306	1corintios	322	322	7:21	7:21	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-21-P02	1corintios-7-21-P02
MR0307	307	1corintios	323	323	7:21	7:21	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-7-21-P03	1corintios-7-21-P03
MR0308	308	1corintios	324	324	7:21	7:21	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-21-P04	1corintios-7-21-P04
MR0309	309	1corintios	325	325	7:22	7:22	1	none	"{""none"": 1}"	{}	1corintios-7-22-P01	1corintios-7-22-P01
MR0310	310	1corintios	326	326	7:22	7:22	1	none	"{""none"": 1}"	{}	1corintios-7-22-P02	1corintios-7-22-P02
MR0311	311	1corintios	327	327	7:23	7:23	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-7-23-P01	1corintios-7-23-P01
MR0312	312	1corintios	328	328	7:23	7:23	1	none	"{""none"": 1}"	{}	1corintios-7-23-P02	1corintios-7-23-P02
MR0313	313	1corintios	329	329	7:24	7:24	1	none	"{""none"": 1}"	{}	1corintios-7-24-P01	1corintios-7-24-P01
MR0314	314	1corintios	330	330	7:24	7:24	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-7-24-P02	1corintios-7-24-P02
MR0315	315	1corintios	331	331	7:25	7:25	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-25-P01	1corintios-7-25-P01
MR0316	316	1corintios	332	332	7:25	7:25	1	none	"{""none"": 1}"	{}	1corintios-7-25-P02	1corintios-7-25-P02
MR0317	317	1corintios	333	333	7:26	7:26	1	none	"{""none"": 1}"	{}	1corintios-7-26-P01	1corintios-7-26-P01
MR0318	318	1corintios	334	334	7:27	7:27	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-7-27-P01	1corintios-7-27-P01
MR0319	319	1corintios	335	335	7:27	7:27	1	none	"{""none"": 1}"	{}	1corintios-7-27-P02	1corintios-7-27-P02
MR0320	320	1corintios	336	336	7:27	7:27	1	none	"{""none"": 1}"	{}	1corintios-7-27-P03	1corintios-7-27-P03
MR0321	321	1corintios	337	337	7:27	7:27	1	none	"{""none"": 1}"	{}	1corintios-7-27-P04	1corintios-7-27-P04
MR0322	322	1corintios	338	338	7:28	7:28	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-28-P01	1corintios-7-28-P01
MR0323	323	1corintios	339	339	7:28	7:28	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-7-28-P02	1corintios-7-28-P02
