stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_refinement_status	subject_refinement_source	continuity_status	continuity_source	independence_status	subordination_status	movement_status	movement_reason_count	movement_reasons	movement_class	movement_class_source	structural_weight	regime_capable
73	1corintios	2	14	1corintios-2-14-P01	1corintios-2-13-P01	δέχεται	V-PMI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
74	1corintios	2	14	1corintios-2-14-P02	1corintios-2-14-P01	ἐστίν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
75	1corintios	2	14	1corintios-2-14-P03	1corintios-2-14-P02	δύναται	V-PMI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
76	1corintios	2	14	1corintios-2-14-P04	1corintios-2-14-P03	ἀνακρίνεται	V-PPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
77	1corintios	2	15	1corintios-2-15-P01	1corintios-2-14-P04	ἀνακρίνει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
78	1corintios	2	15	1corintios-2-15-P02	1corintios-2-15-P01	ἀνακρίνεται	V-PPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
79	1corintios	2	16	1corintios-2-16-P01	1corintios-2-15-P02	ἔγνω	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
80	1corintios	2	16	1corintios-2-16-P02	1corintios-2-16-P01	συμβιβάσει	V-FAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
81	1corintios	2	16	1corintios-2-16-P03	1corintios-2-16-P02	ἔχομεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
82	1corintios	3	1	1corintios-3-1-P01	1corintios-2-16-P03	ἠδυνήθην	V-API-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
83	1corintios	3	2	1corintios-3-2-P01	1corintios-3-1-P01	ἐπότισα	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
84	1corintios	3	2	1corintios-3-2-P02	1corintios-3-2-P01	ἐδύνασθε	V-IMI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
85	1corintios	3	2	1corintios-3-2-P03	1corintios-3-2-P02	δύνασθε	V-PMI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
86	1corintios	3	3	1corintios-3-3-P01	1corintios-3-2-P03	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
87	1corintios	3	3	1corintios-3-3-P02	1corintios-3-3-P01	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
88	1corintios	3	3	1corintios-3-3-P03	1corintios-3-3-P02	περιπατεῖτε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
89	1corintios	3	4	1corintios-3-4-P01	1corintios-3-3-P03	λέγῃ	V-PAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
90	1corintios	3	4	1corintios-3-4-P02	1corintios-3-4-P01	εἰμι	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
91	1corintios	3	4	1corintios-3-4-P03	1corintios-3-4-P02	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
92	1corintios	3	5	1corintios-3-5-P01	1corintios-3-4-P03	ἐστιν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
93	1corintios	3	5	1corintios-3-5-P02	1corintios-3-5-P01	ἐστιν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
94	1corintios	3	5	1corintios-3-5-P03	1corintios-3-5-P02	ἐπιστεύσατε	V-AAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
95	1corintios	3	5	1corintios-3-5-P04	1corintios-3-5-P03	ἔδωκεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
