decision	reason	greek_span	nbla_span	count	first_seen	last_seen	alignment_types
skip	count too low	πρὸς	por	1	1cor 7:5	1cor 7:5	direct
skip	count too low	πρᾶγμα	algo	1	1cor 6:1	1cor 6:1	direct
skip	count too low	πρῶτον	pues	1	1corintios 11:18	1corintios 11:18	direct
skip	count too low	πρῶτον	en	1	1corintios 12:28	1corintios 12:28	direct
skip	count too low	πρῶτος	primero	1	1corintios 14:30	1corintios 14:30	direct
skip	count too low	πυροῦσθαι	quemarse	1	1cor 7:9	1cor 7:9	direct
skip	count too low	πυρός	fuego	1	1cor 3:15	1cor 3:15	direct
skip	count too low	πυρὶ	fuego	1	1cor 3:13	1cor 3:13	direct
skip	count too low	πόλεμον	para la batalla	1	1corintios 14:8	1corintios 14:8	expanded
skip	count too low	πόμα	porque	1	1corintios 10:4	1corintios 10:4	direct
skip	count too low	πόρνης	de una ramera	1	1cor 6:15	1cor 6:15	expanded
skip	count too low	πόρνοι	los inmorales	1	1cor 6:9	1cor 6:9	expanded
skip	count too low	πόρνοις	inmoral	1	1cor 5:10	1cor 5:10	direct
skip	count too low	πόρνοις	de personas inmorales	1	1cor 5:9	1cor 5:9	expanded
skip	count too low	πόρνος	inmoral	1	1cor 5:11	1cor 5:11	direct
skip	count too low	πόρνῃ	ramera	1	1cor 6:16	1cor 6:16	direct
skip	count too low	πᾶν	coman de todo lo que se vende en la carnicería sin preguntar nada por motivos de conciencia	1	1corintios 10:25	1corintios 10:25	expanded
skip	count too low	πᾶν	todos los demás	1	1cor 6:18	1cor 6:18	expanded
skip	count too low	πᾶς	todo	1	1corintios 11:4	1corintios 11:4	direct
skip	count too low	πᾶς	y todo el que compite en los juegos se abstiene de todo	1	1corintios 9:25	1corintios 9:25	expanded
skip	count too low	πᾶσα	nadie	1	1cor 1:29	1cor 1:29	expanded
skip	count too low	πᾶσα	pero	1	1corintios 11:5	1corintios 11:5	direct
skip	count too low	πᾶσαν	todo	1	1corintios 13:2	1corintios 13:2	direct
skip	count too low	πᾶσαν	la	1	1corintios 13:2	1corintios 13:2	direct
skip	count too low	πᾶσιν	conocimiento	1	1corintios 8:7	1corintios 8:7	direct
skip	count too low	πᾶσιν	de todos me he hecho esclavo	1	1corintios 9:19	1corintios 9:19	expanded
skip	count too low	πῦρ	fuego	1	1cor 3:13	1cor 3:13	direct
skip	count too low	πῶς	cómo dirá	1	1corintios 14:16	1corintios 14:16	expanded
skip	count too low	πῶς	se	1	1corintios 14:9	1corintios 14:9	direct
skip	count too low	πῶς	cómo puede	1	1corintios 7:32	1corintios 7:32	expanded
skip	count too low	πῶς	de cómo	1	1corintios 7:33	1corintios 7:33	expanded
skip	count too low	σάλπιγξ	sonido	1	1corintios 14:8	1corintios 14:8	direct
skip	count too low	σάρκα	la carne	1	1cor 1:26	1cor 1:26	expanded
skip	count too low	σάρκα	israel	1	1corintios 10:18	1corintios 10:18	direct
skip	count too low	σάρκα	carne	1	1cor 6:16	1cor 6:16	direct
skip	count too low	σαρκίνοις	carnales	1	1cor 3:1	1cor 3:1	direct
skip	count too low	σαρκός	carne	1	1cor 5:5	1cor 5:5	direct
skip	count too low	σαρκὶ	problemas	1	1corintios 7:28	1corintios 7:28	direct
skip	count too low	σατανᾷ	satanás	1	1cor 5:5	1cor 5:5	direct
skip	count too low	σε	te	1	1cor 4:7	1cor 4:7	direct
skip	count too low	σημεῖα	señales	1	1cor 1:22	1cor 1:22	direct
skip	count too low	σημεῖόν	son	1	1corintios 14:22	1corintios 14:22	direct
skip	count too low	σιγάτω	que	1	1corintios 14:28	1corintios 14:28	direct
skip	count too low	σιγάτωσαν	porque	1	1corintios 14:34	1corintios 14:34	direct
skip	count too low	σκάνδαλον	piedra de tropiezo	1	1cor 1:23	1cor 1:23	expanded
skip	count too low	σκότους	tinieblas	1	1cor 4:5	1cor 4:5	direct
skip	count too low	σοι	esclavo	1	1corintios 7:21	1corintios 7:21	direct
skip	count too low	σου	necesito	1	1corintios 12:21	1corintios 12:21	direct
skip	count too low	σοφίαν	una sabiduría	1	1cor 2:6	1cor 2:6	expanded
skip	count too low	σοφίας	sabiduría	1	1cor 1:21	1cor 1:21	direct
skip	count too low	σοφίας	el	1	1corintios 12:8	1corintios 12:8	direct
skip	count too low	σοφίας	por sabiduría	1	1cor 2:13	1cor 2:13	expanded
skip	count too low	σοφίᾳ	elocuentes	1	1cor 1:17	1cor 1:17	expanded
skip	count too low	σοφίᾳ	sabiduría	1	1cor 1:21	1cor 1:21	direct
skip	count too low	σοφίᾳ	la sabiduría	1	1cor 2:5	1cor 2:5	expanded
skip	count too low	σοφούς	sabios	1	1cor 1:27	1cor 1:27	direct
skip	count too low	σοφοὶ	sabios	1	1cor 1:26	1cor 1:26	direct
skip	count too low	σοφοὺς	sabios	1	1cor 3:19	1cor 3:19	direct
skip	count too low	σοφός	el sabio	1	1cor 1:20	1cor 1:20	expanded
skip	count too low	σοφός	sabio	1	1cor 3:18	1cor 3:18	direct
skip	count too low	σοφώτερον	más sabia	1	1cor 1:25	1cor 1:25	expanded
skip	count too low	σοφὸς	hombre sabio	1	1cor 6:5	1cor 6:5	expanded
skip	count too low	στέγει	sufre	1	1corintios 13:7	1corintios 13:7	direct
skip	count too low	στέγομεν	todo	1	1corintios 9:12	1corintios 9:12	direct
skip	count too low	σταδίῳ	el	1	1corintios 9:24	1corintios 9:24	direct
skip	count too low	σταυροῦ	cruz	1	1cor 1:18	1cor 1:18	direct
skip	count too low	σταυρὸς	cruz	1	1cor 1:17	1cor 1:17	direct
skip	count too low	στεφανᾶ	de estéfanas	1	1cor 1:16	1cor 1:16	expanded
skip	count too low	συγγνώμην	vía de concesión	1	1cor 7:6	1cor 7:6	expanded
skip	count too low	συγκρίνοντες	combinando	1	1cor 2:13	1cor 2:13	direct
skip	count too low	συγχαίρει	se regocijan	1	1corintios 12:26	1corintios 12:26	expanded
skip	count too low	συγχαίρει	sino	1	1corintios 13:6	1corintios 13:6	direct
skip	count too low	συζητητὴς	el que sabe discutir	1	1cor 1:20	1cor 1:20	expanded
skip	count too low	συμβασιλεύσωμεν	reináramos	1	1cor 4:8	1cor 4:8	direct
skip	count too low	συμβιβάσει	instruya	1	1cor 2:16	1cor 2:16	direct
skip	count too low	συμπάσχει	miembros	1	1corintios 12:26	1corintios 12:26	direct
skip	count too low	συμφέρει	son de provecho	1	1cor 6:12	1cor 6:12	expanded
skip	count too low	συμφέρον	común	1	1corintios 12:7	1corintios 12:7	direct
skip	count too low	συμφώνου	común acuerdo	1	1cor 7:5	1cor 7:5	expanded
skip	count too low	συνέβαινεν	como	1	1corintios 10:11	1corintios 10:11	direct
skip	count too low	συνέλθῃ	si	1	1corintios 14:23	1corintios 14:23	direct
skip	count too low	συνέρχησθε	juicio	1	1corintios 11:34	1corintios 11:34	direct
skip	count too low	συνήθειαν	costumbre	1	1corintios 11:16	1corintios 11:16	direct
skip	count too low	συναναμίγνυσθαι	en compañía de	1	1cor 5:11	1cor 5:11	expanded
skip	count too low	συναναμίγνυσθαι	en compañía	1	1cor 5:9	1cor 5:9	expanded
skip	count too low	συναχθέντων	cuando estén reunidos	1	1cor 5:4	1cor 5:4	expanded
skip	count too low	συνείδησιν	quiero decir no la conciencia de ustedes sino la del otro pues por qué ha de ser juzgada mi libertad por la conciencia ajena	1	1corintios 10:29	1corintios 10:29	expanded
skip	count too low	συνεκέρασεν	dios	1	1corintios 12:24	1corintios 12:24	direct
skip	count too low	συνεργοί	colaboradores en la labor	1	1cor 3:9	1cor 3:9	expanded
skip	count too low	συνερχομένων	lugar	1	1corintios 11:18	1corintios 11:18	direct
skip	count too low	συνερχομένων	cuando se reúnen	1	1corintios 11:20	1corintios 11:20	expanded
skip	count too low	συνερχόμενοι	cuando se reúnan	1	1corintios 11:33	1corintios 11:33	expanded
skip	count too low	συνεσθίειν	coman	1	1cor 5:11	1cor 5:11	direct
skip	count too low	συνεσταλμένος	ha	1	1corintios 7:29	1corintios 7:29	direct
skip	count too low	συνετῶν	inteligentes	1	1cor 1:19	1cor 1:19	direct
skip	count too low	συνηθείᾳ	ahora	1	1corintios 8:7	1corintios 8:7	direct
skip	count too low	σχίσμα	división	1	1corintios 12:25	1corintios 12:25	direct
skip	count too low	σχίσματα	divisiones	1	1cor 1:10	1cor 1:10	direct
skip	count too low	σχίσματα	como	1	1corintios 11:18	1corintios 11:18	direct
skip	count too low	σχολάσητε	dedicarse	1	1cor 7:5	1cor 7:5	direct
skip	count too low	σχῆμα	apariencia	1	1corintios 7:31	1corintios 7:31	direct
skip	count too low	σωθήσεται	será salvo	1	1cor 3:15	1cor 3:15	expanded
skip	count too low	σωθῇ	sea salvo	1	1cor 5:5	1cor 5:5	expanded
skip	count too low	σωσθένης	sóstenes	1	1cor 1:1	1cor 1:1	direct
skip	count too low	σύμφορον	no	1	1corintios 7:35	1corintios 7:35	direct
skip	count too low	σύνεσιν	entendimiento	1	1cor 1:19	1cor 1:19	direct
skip	count too low	σύνοιδα	estoy consciente	1	1cor 4:4	1cor 4:4	expanded
skip	count too low	σώματα	cuerpos	1	1cor 6:15	1cor 6:15	direct
skip	count too low	σώματι	le	1	1corintios 12:18	1corintios 12:18	direct
skip	count too low	σώματι	en	1	1corintios 7:34	1corintios 7:34	direct
skip	count too low	σώματός	cuerpo	1	1cor 6:18	1cor 6:18	direct
skip	count too low	σὺ	porque	1	1corintios 14:17	1corintios 14:17	direct
skip	count too low	σὺν	condenados	1	1corintios 11:32	1corintios 11:32	direct
skip	count too low	σῇ	el	1	1corintios 8:11	1corintios 8:11	direct
skip	count too low	σῳζομένοις	los salvos	1	1cor 1:18	1cor 1:18	expanded
skip	count too low	σῶμά	pobres	1	1corintios 13:3	1corintios 13:3	direct
skip	count too low	σῶμά	cuerpo	1	1cor 6:16	1cor 6:16	direct
skip	count too low	σῶμα	del señor	1	1corintios 11:29	1corintios 11:29	expanded
skip	count too low	σῶμα	ya	1	1corintios 12:13	1corintios 12:13	direct
skip	count too low	σῶμα	es	1	1corintios 12:14	1corintios 12:14	direct
skip	count too low	σῶμα	el cuerpo	1	1corintios 12:27	1corintios 12:27	expanded
skip	count too low	σῶσαι	salvar	1	1cor 1:21	1cor 1:21	direct
skip	count too low	τάξιν	con	1	1corintios 14:40	1corintios 14:40	direct
skip	count too low	τέκνον	hijo	1	1cor 4:17	1cor 4:17	direct
skip	count too low	τέλειοι	maduros	1	1corintios 14:20	1corintios 14:20	direct
skip	count too low	τέλειον	lo	1	1corintios 13:10	1corintios 13:10	direct
skip	count too low	τέλους	el fin	1	1cor 1:8	1cor 1:8	expanded
skip	count too low	τήρησις	el guardar	1	1corintios 7:19	1corintios 7:19	expanded
skip	count too low	τί	qué quiero decir entonces que lo sacrificado a los ídolos es algo o que un ídolo es algo	1	1corintios 10:19	1corintios 10:19	expanded
skip	count too low	τί	entonces	1	1corintios 14:15	1corintios 14:15	direct
skip	count too low	τί	lo que dices	1	1corintios 14:16	1corintios 14:16	expanded
skip	count too low	τίς	cuál	1	1corintios 9:18	1corintios 9:18	direct
skip	count too low	τίς	quién ha servido alguna vez como soldado a sus propias expensas quién planta una viña y no come de su fruto o quién cuida un rebaño y no bebe de la leche del rebaño	1	1corintios 9:7	1corintios 9:7	expanded
skip	count too low	ταχέως	pronto	1	1cor 4:19	1cor 4:19	direct
skip	count too low	ταύτῃ	sino	1	1corintios 9:12	1corintios 9:12	direct
skip	count too low	ταῖς	yo	1	1corintios 13:1	1corintios 13:1	direct
skip	count too low	ταῖς	en la	1	1corintios 14:20	1corintios 14:20	expanded
skip	count too low	ταῖς	las	1	1corintios 14:34	1corintios 14:34	direct
skip	count too low	ταῖς	con	1	1cor 4:12	1cor 4:12	expanded
skip	count too low	ταῖς	a las	1	1cor 7:8	1cor 7:8	expanded
skip	count too low	ταῦτά	esto	1	1cor 6:11	1cor 6:11	direct
skip	count too low	ταῦτα	estas	1	1corintios 10:11	1corintios 10:11	direct
skip	count too low	ταῦτα	estas cosas sucedieron como ejemplo para nosotros a fin de que no codiciemos lo malo como ellos lo codiciaron	1	1corintios 10:6	1corintios 10:6	expanded
